都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1216,19905,86,6,1032,98
青   森,27,965,0,0,26,1
岩    手,0,918,0,0,0,0
宮    城,91,3623,3,0,87,1
秋  田,16,990,0,0,16,0
山    形,69,2526,1,1,68,0
福    島,82,6507,2,0,80,0
茨    城,172,5235,6,0,156,10
栃    木,66,6699,0,0,65,0
群    馬,152,4821,2,0,131,19
埼    玉,1090,33065,75,4,950,65
千    葉,941,17723,29,2,867,45
東    京,5997,75566,377,17,5295,325
神 奈 川,1451,12347,64,10,1291,96
新    潟,84,4860,2,0,81,0
富    山,227,3896,0,0,205,22
石    川,300,2884,22,1,251,27
福    井,122,3339,0,0,114,8
山    梨,72,5495,0,0,71,1
長    野,77,3210,1,0,76,-
岐    阜,156,5051,3,1,146,7
静    岡,80,7324,4,0,75,1
愛    知,523,12445,8,0,475,34
三    重,46,2823,1,0,44,1
滋    賀,101,2310,1,0,99,1
京    都,366,9896,4,0,344,18
大    阪,1812,39103,30,4,1696,86
兵    庫,704,14483,7,0,654,43
奈    良,92,3760,0,0,90,2
和 歌 山,64,3955,1,0,60,3
鳥    取,3,1466,0,0,3,0
島    根,24,1232,1,0,23,0
岡    山,26,1900,1,-,25,-
広    島,168,7744,0,0,165,3
山    口,37,2202,0,0,37,0
徳    島,6,858,0,0,4,1
香    川,28,2593,0,0,28,0
愛    媛,82,2586,1,0,77,4
高    知,74,1953,0,0,71,3
福    岡,844,15995,22,2,789,33
佐    賀,47,1609,0,0,47,0
長    崎,17,3177,0,0,16,1
熊    本,49,4234,1,0,45,3
大    分,60,4772,0,0,59,1
宮    崎,17,1549,0,0,17,0
鹿 児 島,11,2534,1,0,10,0
沖    縄,142,3012,0,0,139,7
(その他),149,-,1,-,148,-
合計,17980,375140,757,48,16248,970
