都道府県名,陽性者数 検査人数,,%
北海道,20182,419299,4.8%
青森,885,22625,3.9%
岩手,575,30838,1.9%
宮城,4319,77328,5.6%
秋田,273,7222,3.8%
山形,576,30015,1.9%
福島,2253,130543,1.7%
茨城,6306,25375,24.9%
栃木,4354,160448,2.7%
群馬,4767,105114,4.5%
埼玉,31318,605273,5.2%
千葉,28324,449994,6.3%
東京,116616,1665918,7.0%
神奈川,46791,653638,7.2%
新潟,1226,74769,1.6%
富山,915,39523,2.3%
石川,1888,56928,3.3%
福井,549,33869,1.6%
山梨,955,28326,3.4%
長野,2478,107503,2.3%
岐阜,4814,149630,3.2%
静岡,5451,227235,2.4%
愛知,26541,433063,6.1%
三重,2626,70180,3.7%
滋賀,2674,81108,3.3%
京都,9225,167129,5.5%
大阪,48747,918018,5.3%
兵庫,18659,274576,6.8%
奈良,3489,89860,3.9%
和歌山,1189,25281,4.7%
鳥取,210,44710,0.5%
島根,285,17152,1.7%
岡山,2598,72624,3.6%
広島,5069,172116,2.9%
山口,1396,64978,2.1%
徳島,466,29052,1.6%
香川,775,48115,1.6%
愛媛,1077,35180,3.1%
高知,911,7296,12.5%
福岡,18593,481852,3.9%
佐賀,1150,30517,3.8%
長崎,1614,72913,2.2%
熊本,3482,57485,6.1%
大分,1300,87340,1.5%
宮崎,1953,24806,7.9%
鹿児島,1766,70367,2.5%
沖縄,8618,156296,5.5%
長崎船,149,0,-
合計,450377,8633427,5.2%
