都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,20182,419299,611,7,18790,719
青森,885,22625,62,0,803,20
岩手,575,30838,18,0,527,30
宮城,4319,77328,481,4,3811,27
秋田,273,7222,5,0,262,6
山形,576,30015,33,0,527,16
福島,2253,130543,254,13,1900,99
茨城,6306,25375,311,5,5872,123
栃木,4354,160448,152,0,4132,70
群馬,4767,105114,156,3,4518,93
埼玉,31318,605273,1426,40,29215,677
千葉,28324,449994,1060,19,26732,532
東京,116616,1665918,2831,44,112161,1624
神奈川,46791,653638,1044,21,44986,761
新潟,1226,74769,107,1,1103,16
富山,915,39523,9,2,878,28
石川,1888,56928,16,2,1807,63
福井,549,33869,3,0,521,25
山梨,955,28326,12,0,925,18
長野,2478,107503,80,0,2381,41
岐阜,4814,149630,58,7,4637,119
静岡,5451,227235,185,0,5158,108
愛知,26541,433063,485,12,25493,563
三重,2626,70180,76,4,2564,65
滋賀,2674,81108,141,6,2482,51
京都,9225,167129,109,3,8955,164
大阪,48747,918018,1148,54,46047,1161
兵庫,18659,274576,557,48,17530,572
奈良,3489,89860,84,5,3356,49
和歌山,1189,25281,22,2,1125,18
鳥取,210,44710,0,0,205,2
島根,285,17152,1,0,284,0
岡山,2598,72624,77,1,2441,34
広島,5069,172116,36,4,4930,103
山口,1396,64978,17,0,1336,43
徳島,466,29052,16,1,432,18
香川,775,48115,17,0,740,18
愛媛,1077,35180,16,1,1037,24
高知,911,7296,10,3,882,19
福岡,18593,481852,410,12,17863,320
佐賀,1150,30517,63,2,1097,11
長崎,1614,72913,0,0,1576,38
熊本,3482,57485,27,0,3383,74
大分,1300,87340,9,0,1269,22
宮崎,1953,24806,0,0,1924,22
鹿児島,1766,70367,7,1,1758,27
沖縄,8618,156296,328,3,8173,123
(その他),149,-,0,-,149,-
合計,450377,8633427,12570,330,428677,8756
