都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1263,20920,103,6,1061,99
青 森,27,991,0,0,26,1
岩手,0,981,0,0,0,0
宮城,94,3826,5,0,88,1
秋  田,16,997,0,0,16,0
山形,69,2544,1,1,68,0
福島,82,6896,1,0,81,0
茨城,174,5325,5,0,159,10
栃木,79,7288,14,0,66,0
群馬,153,5112,3,0,131,19
埼玉,1146,35516,121,3,960,65
千葉,967,18355,49,2,873,45
東京,6292,84548,493,10,5474,325
神奈川,1508,12709,86,8,1326,96
新潟,84,4987,1,0,82,0
富山,227,3962,0,0,205,22
石川,300,2911,16,1,257,27
福井,122,3445,0,0,114,8
山梨,75,5711,2,0,72,1
⾧野,77,3292,1,0,76,-
岐阜,157,5265,3,1,147,7
静岡,81,7675,1,0,79,1
愛知,525,12859,7,0,478,34
三重,46,2881,0,0,45,1
滋賀,103,2379,3,0,99,1
京都,381,10346,17,0,346,18
大阪,1843,41251,45,3,1712,86
兵庫,706,14947,6,0,655,45
奈良,92,3943,0,0,90,2
和歌山,64,4005,1,0,60,3
鳥取,3,1489,0,0,3,0
島根,24,1247,0,0,24,0
岡山,26,1943,1,-,25,-
広島,169,7824,1,0,165,3
山口,37,2342,0,0,37,0
徳島,6,925,1,0,4,1
香川,28,2754,0,0,28,0
愛媛,82,2617,0,0,77,5
高知,74,1977,0,0,71,3
福岡,850,16607,16,2,801,33
佐賀,47,1625,0,0,47,0
⾧崎,17,3265,0,0,16,1
熊本,49,4287,1,0,45,3
大分,60,4930,0,0,59,1
宮崎,17,1578,0,0,17,0
鹿児島,12,2611,1,0,11,0
沖縄,142,3023,0,0,139,7
(その他),149,-,1,-,148,-
合計,18545,396911,1006,37,16563,974
