都道府県名,陽性者数 検査人数,,%
北海道,1263,20920,6.0%
青森,27,991,2.7%
岩手,0,981,0.0%
宮城,94,3826,2.5%
秋田,16,997,1.6%
山形,69,2544,2.7%
福島,82,6896,1.2%
茨城,174,5325,3.3%
栃木,79,7288,1.1%
群馬,153,5112,3.0%
埼玉,1146,35516,3.2%
千葉,967,18355,5.3%
東京,6292,84548,7.4%
神奈川,1508,12709,11.9%
新潟,84,4987,1.7%
富山,227,3962,5.7%
石川,300,2911,10.3%
福井,122,3445,3.5%
山梨,75,5711,1.3%
⾧野,77,3292,2.3%
岐阜,157,5265,3.0%
静岡,81,7675,1.1%
愛知,525,12859,4.1%
三重,46,2881,1.6%
滋賀,103,2379,4.3%
京都,381,10346,3.7%
大阪,1843,41251,4.5%
兵庫,706,14947,4.7%
奈良,92,3943,2.3%
和歌山,64,4005,1.6%
鳥取,3,1489,0.2%
島根,24,1247,1.9%
岡山,26,1943,1.3%
広島,169,7824,2.2%
山口,37,2342,1.6%
徳島,6,925,0.6%
香川,28,2754,1.0%
愛媛,82,2617,3.1%
高知,74,1977,3.7%
福岡,850,16607,5.1%
佐賀,47,1625,2.9%
⾧崎,17,3265,0.5%
熊本,49,4287,1.1%
大分,60,4930,1.2%
宮崎,17,1578,1.1%
鹿児島,12,2611,0.5%
沖縄,142,3023,4.7%
⾧崎船,149,-,-
合計,18545,396911,4.7%
