都道府県名,陽性者数,検査人数,備考
北海道,162,1775,
青森県,2,83,
岩手県,0,37,
宮城県,1,161,
秋田県,2,121,
山形県,0,145,
福島県,2,157,
茨城県,5,654,
栃木県,4,297,
群馬県,11,202,
埼玉県,51,875,
千葉県,47,31,
東京都,158,1848,3/22時点
神奈川県,75,,
新潟県,26,786,
富山県,0,62,
石川県,8,181,
福井県,1,102,
山梨県,2,358,
長野県,4,336,
岐阜県,8,304,
静岡県,3,581,
愛知県,145,1782,
三重県,9,344,
滋賀県,5,168,
京都府,24,857,
大阪府,134,2350,
兵庫県,112,1518,
奈良県,9,205,
和歌山県,17,1305,
鳥取県,0,126,
島根県,0,101,
岡山県,1,206,
広島県,3,631,
山口県,4,180,
徳島県,1,93,
香川県,1,157,
愛媛県,3,208,
高知県,12,281,
福岡県,6,689,
佐賀県,1,111,
長崎県,1,246,
熊本県,7,521,
大分県,17,356,
宮崎県,3,197,
鹿児島県,0,193,
沖縄県,3,263,
合計,1090,22184,
