,2020-03-23,対前日比,うち現在は入院等,,うち退院,,うち死亡,
北海道,161,0,65,40%,90,56%,6,4%
東京都,146,14,116,79%,26,18%,4,3%
愛知県,136,2,112,82%,8,6%,17,13%
大阪府,116,3,87,75%,27,23%,2,2%
兵庫県,85,2,78,92%,2,2%,6,7%
神奈川県,68,1,47,69%,17,25%,4,6%
埼玉県,46,1,34,74%,11,24%,1,2%
千葉県,45,3,30,67%,15,33%,0,0%
新潟県,22,0,19,86%,3,14%,0,0%
京都府,21,1,14,67%,7,33%,0,0%
和歌山県,15,0,5,33%,9,60%,1,7%
大分県,15,0,14,93%,1,7%,0,0%
高知県,11,0,0,0%,11,100%,0,0%
群馬県,11,0,10,91%,0,0%,1,9%
岐阜県,8,3,7,88%,1,13%,0,0%
福岡県,6,1,4,67%,2,33%,0,0%
熊本県,6,0,5,83%,1,17%,0,0%
石川県,6,0,3,50%,3,50%,0,0%
三重県,6,0,4,67%,2,33%,0,0%
茨城県,5,2,5,100%,0,0%,0,0%
滋賀県,5,1,4,80%,1,20%,0,0%
奈良県,5,0,2,40%,3,60%,0,0%
栃木県,4,0,2,50%,2,50%,0,0%
沖縄県,3,0,1,33%,2,67%,0,0%
長野県,3,0,2,67%,1,33%,0,0%
静岡県,3,0,2,67%,1,33%,0,0%
宮崎県,3,0,3,100%,0,0%,0,0%
広島県,3,0,2,67%,1,33%,0,0%
青森県,2,2,2,100%,0,0%,0,0%
山梨県,2,0,1,50%,1,50%,0,0%
山口県,2,0,2,100%,0,0%,0,0%
愛媛県,2,0,1,50%,1,50%,0,0%
福島県,2,0,2,100%,0,0%,0,0%
秋田県,1,0,0,0%,1,100%,0,0%
宮城県,1,0,0,0%,1,100%,0,0%
福井県,1,0,1,100%,0,0%,0,0%
岡山県,1,0,1,100%,0,0%,0,0%
香川県,1,0,1,100%,0,0%,0,0%
佐賀県,1,0,1,100%,0,0%,0,0%
総計,980,36,689,70%,251,26%,42,4%
