都道府県名,陽性者数 検査人数,,%
北海道,17125,310946,5.5%
青森,699,13054,5.4%
岩手,495,19618,2.5%
宮城,3345,47850,7.0%
秋田,255,6354,4.0%
山形,480,13913,3.5%
福島,1693,82132,2.1%
茨城,4600,22957,20.0%
栃木,3687,102397,3.6%
群馬,3734,72818,5.1%
埼玉,24386,440312,5.5%
千葉,21448,313584,6.8%
東京,97571,1290024,7.6%
神奈川,39592,484565,8.2%
新潟,889,36156,2.5%
富山,857,29974,2.9%
石川,1447,39983,3.6%
福井,506,26159,1.9%
山梨,898,14741,6.1%
長野,2256,79914,2.8%
岐阜,4142,101731,4.1%
静岡,4468,139252,3.2%
愛知,23368,305475,7.6%
三重,2129,42391,5.0%
滋賀,2067,54283,3.8%
京都,8091,125411,6.5%
大阪,42824,633464,6.8%
兵庫,15830,195015,8.1%
奈良,2957,67073,4.4%
和歌山,1032,21026,4.9%
鳥取,198,33403,0.6%
島根,254,11764,2.2%
岡山,2303,47392,4.9%
広島,4700,120841,3.9%
山口,1190,45815,2.6%
徳島,381,21093,1.8%
香川,620,36523,1.7%
愛媛,970,23128,4.2%
高知,835,6815,12.3%
福岡,15367,360243,4.3%
佐賀,938,23477,4.0%
長崎,1446,55149,2.6%
熊本,3299,51379,6.4%
大分,1115,61550,1.8%
宮崎,1794,22420,8.0%
鹿児島,1566,54334,2.9%
沖縄,7368,121909,6.0%
長崎船,149,0,-
合計,377364,6229807,6.1%
