都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1294,23417,61,5,1132,101
青 森,29,1086,3,0,25,1
岩手,0,1149,0,0,0,0
宮城,106,4609,11,0,94,1
秋  田,16,1018,0,0,16,0
山形,72,2642,3,0,68,1
福島,83,7891,1,0,82,0
茨城,202,5846,21,1,171,10
栃木,95,9301,19,0,82,0
群馬,156,5802,4,0,134,19
埼玉,1488,43923,318,4,1103,67
千葉,1137,20924,161,0,930,46
東京,8046,118435,1385,6,6336,325
神奈川,1760,14411,179,11,1484,97
新潟,87,5305,3,0,83,0
富山,230,4294,3,0,205,22
石川,300,2964,6,1,267,27
福井,124,3686,2,0,114,8
山梨,76,6249,1,0,74,1
長野,79,4564,3,0,76,-
岐阜,162,5829,7,2,148,7
静岡,94,8933,11,0,82,1
愛知,530,14450,8,0,483,34
三重,50,3084,3,0,45,1
滋賀,106,2742,5,1,100,1
京都,447,12044,63,0,366,18
大阪,2045,46112,153,5,1806,86
兵庫,738,16846,30,0,663,45
奈良,123,4383,30,0,91,2
和歌山,83,4556,19,0,61,3
鳥取,5,2022,2,0,3,0
島根,24,1286,0,0,24,0
岡山,28,2046,2,-,26,-
広島,179,8393,11,0,166,3
山口,37,2675,0,0,37,0
徳島,10,1200,5,0,4,1
香川,29,2991,1,0,28,0
愛媛,82,2678,0,0,77,5
高知,75,2028,1,0,71,3
福岡,922,18029,67,4,822,33
佐賀,47,1703,0,0,47,0
長崎,26,4071,9,0,16,1
熊本,49,4456,0,0,46,3
大分,60,5390,0,0,59,1
宮崎,20,1701,1,0,17,0
鹿児島,150,6949,136,0,14,0
沖縄,148,3177,6,0,139,7
(その他),149,-,0,-,149,-
合計,21798,477290,2754,40,18066,981
