都道府県名,陽性者数 検査人数,,%
北海道,41271,772971,5.3%
青森,2479,49897,5.0%
岩手,1667,83925,2.0%
宮城,9113,155946,5.8%
秋田,848,15223,5.6%
山形,2020,65598,3.1%
福島,4864,277618,1.8%
茨城,10491,33237,31.6%
栃木,6977,284477,2.5%
群馬,8029,192028,4.2%
埼玉,46253,959876,4.8%
千葉,40055,677787,5.9%
東京,172744,2498596,6.9%
神奈川,67001,1028896,6.5%
新潟,3398,169798,2.0%
富山,2037,72925,2.8%
石川,3929,121754,3.2%
福井,1259,67203,1.9%
山梨,2087,54750,3.8%
長野,5028,205547,2.4%
岐阜,9434,267475,3.5%
静岡,9258,399710,2.3%
愛知,50902,821429,6.2%
三重,5249,142045,3.7%
滋賀,5542,150107,3.7%
京都,16559,281007,5.9%
大阪,103174,2131244,4.8%
兵庫,40865,503814,8.1%
奈良,8294,166297,5.0%
和歌山,2676,41689,6.4%
鳥取,466,82440,0.6%
島根,552,29812,1.9%
岡山,7588,162012,4.7%
広島,11481,546309,2.1%
山口,3133,119622,2.6%
徳島,1655,64370,2.6%
香川,2093,85156,2.5%
愛媛,2752,95448,2.9%
高知,1810,11319,16.0%
福岡,35456,824708,4.3%
佐賀,2554,56355,4.5%
長崎,3166,123503,2.6%
熊本,6477,81916,7.9%
大分,3491,166580,2.1%
宮崎,3076,44161,7.0%
鹿児島,3667,110609,3.3%
沖縄,20632,249040,8.3%
長崎船,149,0,-
合計,793701,15546229,5.1%
