都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,41271,772971,1260,30,38672,1389
青森,2479,49897,36,0,2412,31
岩手,1667,83925,50,1,1571,46
宮城,9113,155946,61,4,8959,90
秋田,848,15223,78,1,750,20
山形,2020,65598,12,2,1961,47
福島,4864,277618,124,5,4579,161
茨城,10491,33237,256,4,10071,164
栃木,6977,284477,221,12,6675,81
群馬,8029,192028,55,5,7822,152
埼玉,46253,959876,995,14,44428,830
千葉,40055,677787,1070,17,38281,704
東京,172744,2498596,4068,41,166449,2227
神奈川,67001,1028896,1711,40,64345,945
新潟,3398,169798,46,3,3305,47
富山,2037,72925,47,1,1952,38
石川,3929,121754,41,0,3770,115
福井,1259,67203,161,0,1064,34
山梨,2087,54750,159,1,1908,21
長野,5028,205547,73,2,4939,91
岐阜,9434,267475,127,3,9121,186
静岡,9258,399710,292,3,8816,150
愛知,50902,821429,1058,27,48889,955
三重,5249,142045,92,4,5184,111
滋賀,5542,150107,94,6,5358,90
京都,16559,281007,158,13,16154,241
大阪,103174,2131244,1397,167,98306,2661
兵庫,40865,503814,271,23,39311,1285
奈良,8294,166297,185,6,7980,129
和歌山,2676,41689,18,2,2551,49
鳥取,466,82440,2,0,455,2
島根,552,29812,3,1,548,1
岡山,7588,162012,72,8,7385,126
広島,11481,546309,166,12,11121,174
山口,3133,119622,60,1,2996,77
徳島,1655,64370,8,0,1584,63
香川,2093,85156,24,1,2044,30
愛媛,2752,95448,9,3,2668,75
高知,1810,11319,99,6,1686,25
福岡,35456,824708,491,15,34429,520
佐賀,2554,56355,16,0,2551,24
長崎,3166,123503,78,0,3019,69
熊本,6477,81916,74,5,6287,116
大分,3491,166580,32,1,3397,62
宮崎,3076,44161,20,0,3019,27
鹿児島,3667,110609,54,1,3608,38
沖縄,20632,249040,1107,61,19350,181
(その他),149,-,0,-,149,-
合計,793701,15546229,16531,552,761879,14700
