,2020-04-17,,対前日比,人口一万人当たり,うち現在は入院等,,うち退院,,うち死亡,
埼玉県,埼玉,575,34,0.784,534,93%,32,6%,9,2%
千葉県,千葉,609,35,0.974,549,90%,54,9%,6,1%
東京都,東京,2807,201,2.031,2729,97%,59,2%,19,1%
神奈川県,神奈川,710,34,0.774,639,90%,54,8%,17,2%
大阪府,大阪,1076,55,1.221,885,82%,182,17%,9,1%
兵庫県,兵庫,480,22,0.875,400,83%,63,13%,17,4%
福岡県,福岡,476,17,0.932,401,84%,66,14%,9,2%
北海道,北海道,370,34,0.700,185,50%,171,46%,14,4%
茨城県,茨城,131,8,0.455,,88%,11,8%,5,4%
石川県,石川,160,14,1.400,151,94%,5,3%,4,3%
岐阜県,岐阜,136,4,0.681,118,87%,16,12%,2,1%
愛知県,愛知,374,10,0.496,284,76%,66,18%,24,6%
京都府,京都,235,10,0.907,179,76%,53,23%,3,1%
青森県,青森,22,0,0.174,17,77%,5,23%,0,0%
岩手県,岩手,0,0,0.000,0,ｰ,0,ｰ,0,ｰ
宮城県,宮城,79,4,0.341,71,90%,8,10%,0,0%
秋田県,秋田,16,0,0.163,11,69%,5,31%,0,0%
山形県,山形,58,4,0.532,58,100%,0,0%,0,0%
福島県,福島,52,3,0.279,49,94%,3,6%,0,0%
栃木県,栃木,44,2,0.226,36,82%,8,18%,0,0%
群馬県,群馬,114,2,0.584,105,92%,5,4%,4,4%
新潟県,新潟,53,6,0.236,24,45%,29,55%,0,0%
富山県,富山,69,4,0.657,67,97%,2,3%,0,0%
福井県,福井,104,1,1.344,94,90%,8,8%,2,2%
山梨県,山梨,46,3,0.563,37,80%,9,20%,0,0%
長野県,長野,47,2,0.228,43,91%,4,9%,0,0%
静岡県,静岡,51,2,0.139,46,90%,5,10%,0,0%
三重県,三重,32,6,0.179,,63%,11,34%,1,3%
滋賀県,滋賀,68,11,0.482,57,84%,10,15%,1,1%
奈良県,奈良,56,2,0.418,43,77%,12,21%,1,2%
和歌山県,和歌山,39,1,0.417,19,49%,19,49%,1,3%
鳥取県,鳥取,1,0,0.018,1,100%,0,0%,0,0%
島根県,島根,15,1,0.221,15,100%,0,0%,0,0%
岡山県,岡山,18,1,0.095,17,94%,1,6%,0,0%
広島県,広島,124,6,0.440,116,94%,8,6%,0,0%
山口県,山口,30,1,0.219,25,83%,5,17%,0,0%
徳島県,徳島,3,0,0.041,0,0%,3,100%,0,0%
香川県,香川,24,2,0.249,23,96%,1,4%,0,0%
愛媛県,愛媛,41,0,0.303,35,85%,4,10%,2,5%
高知県,高知,63,1,0.892,44,70%,18,29%,1,2%
佐賀県,佐賀,16,1,0.195,15,94%,1,6%,0,0%
長崎県,長崎,17,1,0.127,15,88%,2,12%,0,0%
熊本県,熊本,35,2,0.199,28,80%,6,17%,1,3%
大分県,大分,54,0,0.472,36,67%,17,31%,1,2%
宮崎県,宮崎,17,0,0.157,13,76%,4,24%,0,0%
鹿児島県,鹿児島,6,2,0.037,5,83%,1,17%,0,0%
沖縄県,沖縄,101,7,0.698,94,93%,6,6%,1,1%
