都道府県名,陽性者数 検査人数,,%
北海道,19845,409517,4.8%
青森,852,21461,4.0%
岩手,561,29554,1.9%
宮城,4006,74112,5.4%
秋田,269,7148,3.8%
山形,553,28974,1.9%
福島,2183,125371,1.7%
茨城,6166,25169,24.5%
栃木,4260,156347,2.7%
群馬,4683,100905,4.6%
埼玉,30827,590255,5.2%
千葉,27853,438920,6.3%
東京,115170,1628135,7.1%
神奈川,46283,634658,7.3%
新潟,1180,46600,2.5%
富山,909,38443,2.4%
石川,1883,55235,3.4%
福井,546,33315,1.6%
山梨,946,28326,3.3%
長野,2407,104247,2.3%
岐阜,4794,146680,3.3%
静岡,5391,217367,2.5%
愛知,26369,419863,6.3%
三重,2598,70180,3.7%
滋賀,2638,78998,3.3%
京都,9173,163509,5.6%
大阪,48214,881164,5.5%
兵庫,18383,267708,6.9%
奈良,3448,87064,4.0%
和歌山,1172,25024,4.7%
鳥取,210,43485,0.5%
島根,284,16686,1.7%
岡山,2577,72624,3.5%
広島,5059,168924,3.0%
山口,1390,62904,2.2%
徳島,464,28299,1.6%
香川,768,47272,1.6%
愛媛,1073,35160,3.1%
高知,908,7217,12.6%
福岡,18431,470980,3.9%
佐賀,1139,29776,3.8%
長崎,1613,71412,2.3%
熊本,3469,57325,6.1%
大分,1298,85431,1.5%
宮崎,1953,24803,7.9%
鹿児島,1762,69602,2.5%
沖縄,8473,152548,5.6%
長崎船,149,0,-
合計,444582,8378697,5.3%
