都道府県名,陽性者数 検査人数,,%
北海道,13442,238793,5.6%
青森,482,9774,4.9%
岩手,385,14361,2.7%
宮城,2175,24571,8.9%
秋田,140,4565,3.1%
山形,387,10176,3.8%
福島,944,57499,1.6%
茨城,2446,18572,13.2%
栃木,1478,72484,2.0%
群馬,2315,52671,4.4%
埼玉,14298,314223,4.6%
千葉,10826,224656,4.8%
東京,60177,996675,6.0%
神奈川,21263,342311,6.2%
新潟,540,27958,1.9%
富山,553,21742,2.5%
石川,1071,29819,3.6%
福井,355,19392,1.8%
山梨,568,14525,3.9%
長野,1183,47545,2.5%
岐阜,2292,65333,3.5%
静岡,2679,88334,3.0%
愛知,16315,199918,8.2%
三重,1291,29023,4.4%
滋賀,1175,37440,3.1%
京都,4455,90765,4.9%
大阪,29999,466973,6.4%
兵庫,9811,139076,7.1%
奈良,2005,47698,4.2%
和歌山,616,16489,3.7%
鳥取,118,24147,0.5%
島根,207,9344,2.2%
岡山,1363,31723,4.3%
広島,3230,75233,4.3%
山口,587,26760,2.2%
徳島,198,15335,1.3%
香川,304,24270,1.3%
愛媛,465,12634,3.7%
高知,663,5907,11.2%
福岡,8774,263231,3.3%
佐賀,468,15014,3.1%
長崎,611,39155,1.6%
熊本,1873,36058,5.2%
大分,689,42997,1.6%
宮崎,759,12454,6.1%
鹿児島,1006,39350,2.6%
沖縄,5365,89846,6.0%
長崎船,149,0,-
合計,232495,4486819,5.2%
