都道府県名,陽性者数 検査人数,,%
北海道,27090,563175,4.8%
青森,1813,35847,5.1%
岩手,1104,61476,1.8%
宮城,8353,124673,6.7%
秋田,601,11745,5.1%
山形,1608,50457,3.2%
福島,3928,197723,2.0%
茨城,8607,31023,27.7%
栃木,5628,222943,2.5%
群馬,6768,146386,4.6%
埼玉,40011,790652,5.1%
千葉,34574,562276,6.1%
東京,147167,2094353,7.0%
神奈川,55976,838313,6.7%
新潟,2591,117734,2.2%
富山,1420,54039,2.6%
石川,2916,74543,3.9%
福井,960,51959,1.8%
山梨,1314,36365,3.6%
長野,4129,155089,2.7%
岐阜,6778,199162,3.4%
静岡,6873,307663,2.2%
愛知,36706,596578,6.2%
三重,4171,104528,4.0%
滋賀,4202,110722,3.8%
京都,13717,226809,6.0%
大阪,90213,1552182,5.8%
兵庫,35282,404076,8.7%
奈良,6994,133423,5.2%
和歌山,2370,35947,6.6%
鳥取,401,64952,0.6%
島根,379,21314,1.8%
岡山,5124,108427,4.7%
広島,6932,297855,2.3%
山口,2121,82172,2.6%
徳島,1493,47560,3.1%
香川,1593,65670,2.4%
愛媛,2533,68915,3.7%
高知,1123,8565,13.1%
福岡,27205,641547,4.2%
佐賀,1996,42005,4.8%
長崎,2529,97712,2.6%
熊本,4730,68889,6.9%
大分,2466,119805,2.1%
宮崎,2604,34301,7.6%
鹿児島,2597,81722,3.2%
沖縄,13131,197765,6.6%
長崎船,149,0,-
合計,642970,11941037,5.4%
