都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,27090,563175,2933,24,22928,901
青森,1813,35847,304,5,1483,26
岩手,1104,61476,198,1,870,36
宮城,8353,124673,425,11,7846,74
秋田,601,11745,132,0,460,9
山形,1608,50457,122,6,1450,36
福島,3928,197723,612,21,3187,129
茨城,8607,31023,449,15,8023,135
栃木,5628,222943,283,4,5272,73
群馬,6768,146386,711,16,5950,107
埼玉,40011,790652,2499,46,36761,751
千葉,34574,562276,1386,17,32546,642
東京,147167,2094353,7177,78,138070,1920
神奈川,55976,838313,2105,48,53034,837
新潟,2591,117734,352,1,2214,25
富山,1420,54039,141,7,1248,31
石川,2916,74543,532,14,2294,88
福井,960,51959,101,1,826,33
山梨,1314,36365,117,3,1179,19
長野,4129,155089,309,6,3805,72
岐阜,6778,199162,843,10,5797,138
静岡,6873,307663,413,6,6333,127
愛知,36706,596578,4192,47,31861,653
三重,4171,104528,576,16,3610,91
滋賀,4202,110722,584,13,3551,67
京都,13717,226809,1614,30,11956,193
大阪,90213,1552182,21498,407,66111,1730
兵庫,35282,404076,5018,98,29486,778
奈良,6994,133423,927,25,5979,88
和歌山,2370,35947,230,44,2068,34
鳥取,401,64952,35,0,353,2
島根,379,21314,29,1,350,0
岡山,5124,108427,863,20,3492,49
広島,6932,297855,668,11,5897,111
山口,2121,82172,338,5,1734,49
徳島,1493,47560,237,11,1205,51
香川,1593,65670,365,4,1211,23
愛媛,2533,68915,271,8,2205,57
高知,1123,8565,68,3,1035,20
福岡,27205,641547,4319,48,22080,372
佐賀,1996,42005,339,3,1588,14
長崎,2529,97712,515,7,1972,45
熊本,4730,68889,641,16,4006,83
大分,2466,119805,679,3,1759,28
宮崎,2604,34301,405,4,2168,23
鹿児島,2597,81722,417,2,2141,28
沖縄,13131,197765,1089,10,11909,139
(その他),149,-,0,-,149,-
合計,642970,11941037,68061,1176,561452,10937
