都道府県名,陽性者数 検査人数,,%
北海道,6684,122381,5.5%
青森,280,6349,4.4%
,127,7560,1.7%
宮城,1075,17396,6.2%
秋田,74,3155,2.3%
山形,107,7184,1.5%
福島,474,37381,1.3%
茨城,1205,15503,7.8%
栃木,558,51487,1.1%
群馬,1033,34203,3.0%
埼玉,7499,217347,3.5%
千葉,6308,154668,4.1%
東京,37317,707444,5.3%
神奈川,11181,234414,4.8%
新潟,295,20826,1.4%
富山,441,16124,2.7%
石川,833,20662,4.0%
福井,300,13504,2.2%
山梨,298,12801,2.3%
長野,592,27741,2.1%
岐阜,911,31292,2.9%
静岡,1111,51416,2.2%
,8464,124076,6.8%
三重,706,18271,3.9%
滋賀,730,25024,2.9%
京都,2409,60062,4.0%
大阪,17159,292105,5.9%
,4485,83625,5.4%
奈良,975,29663,3.3%
和歌山,379,12054,3.1%
鳥取,53,6197,0.9%
島根,142,6498,2.2%
岡山,485,17220,2.8%
広島,736,31670,2.3%
山口,343,13795,2.5%
徳島,178,7724,2.3%
香川,129,15802,0.8%
愛媛,186,5240,3.5%
高知,146,3704,3.9%
,5513,189078,2.9%
佐賀,293,8789,3.3%
長崎,254,25667,1.0%
熊本,951,22677,4.2%
大分,209,24933,0.8%
宮崎,414,8918,4.6%
鹿児島,592,25683,2.3%
沖縄,3967,67188,5.9%
長崎船,149,0,-
合計,128750,2936501,4.4%
