都道府県名,陽性者数 検査人数,,%
北海道,2933,78717,3.7%
青森,217,4702,4.6%
,27,5261,0.5%
宮城,679,13738,4.9%
秋田,61,2481,2.5%
山形,86,6031,1.4%
福島,387,28628,1.4%
茨城,757,13808,5.5%
栃木,484,41786,1.2%
群馬,890,28891,3.1%
埼玉,5765,181338,3.2%
千葉,4963,124723,4.0%
東京,30677,591157,5.2%
神奈川,8588,197734,4.3%
新潟,183,17662,1.0%
富山,423,14459,2.9%
石川,803,16885,4.8%
福井,256,11032,2.3%
山梨,212,11562,1.8%
⾧野,338,22862,1.5%
岐阜,677,26668,2.5%
静岡,636,42455,1.5%
,5992,96926,6.2%
三重,556,15464,3.6%
滋賀,546,13979,3.9%
京都,2003,52073,3.8%
大阪,12473,232501,5.4%
,3186,67698,4.7%
奈良,635,24518,2.6%
和歌山,273,10380,2.6%
鳥取,38,5729,0.7%
島根,141,6212,2.3%
岡山,261,10217,2.6%
広島,658,27316,2.4%
山口,213,11901,1.8%
徳島,164,7448,2.2%
香川,101,13385,0.8%
愛媛,116,4353,2.7%
高知,144,3630,4.0%
,5207,162761,3.2%
佐賀,254,7054,3.6%
⾧崎,244,22202,1.1%
熊本,786,19224,4.1%
大分,159,20662,0.8%
宮崎,367,8784,4.2%
鹿児島,468,22105,2.1%
沖縄,3277,56978,5.8%
⾧崎船,149,0,-
合計,98453,2406080,4.1%
