都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,2703,74331,260,2,2335,108
青 森,170,3886,111,3,58,1
岩手,27,5134,4,0,23,0
宮城,565,12939,59,1,504,2
秋  田,61,2448,2,0,59,0
山形,84,5761,4,0,79,1
福島,385,27233,70,3,309,6
茨城,739,13525,27,2,694,18
栃木,476,35132,30,0,446,1
群馬,858,27724,96,5,743,19
埼玉,5602,174144,427,10,5071,104
千葉,4775,119627,389,11,4310,76
東京,29909,567880,1655,25,27809,445
神奈川,8308,187119,546,25,7602,160
新潟,181,17321,2,0,179,0
富山,422,14261,0,0,396,26
石川,798,16210,13,0,736,49
福井,256,10775,5,0,240,11
山梨,203,11373,3,0,194,6
長野,330,22077,11,1,319,4
岐阜,671,26049,33,1,627,11
静岡,588,40885,15,0,571,2
愛知,5811,93063,266,10,5453,92
三重,555,15384,12,2,536,7
滋賀,537,13710,18,0,510,9
京都,1958,50753,87,0,1841,30
大阪,11976,223402,599,23,11128,233
兵庫,3078,65855,118,16,2899,61
奈良,625,23806,24,2,592,9
和歌山,270,10207,17,2,245,4
鳥取,35,5582,0,0,35,0
島根,140,6122,0,0,140,0
岡山,194,10217,22,1,162,1
広島,654,26568,19,0,630,5
山口,213,11451,5,1,206,2
徳島,164,7390,15,0,141,9
香川,101,12950,4,0,95,2
愛媛,116,4293,0,0,110,6
高知,140,3604,0,0,136,4
福岡,5179,157690,63,4,5015,101
佐賀,254,6897,4,0,252,0
長崎,242,21532,2,0,237,3
熊本,768,19032,46,0,709,8
大分,159,20094,0,0,156,3
宮崎,366,8741,1,0,365,1
鹿児島,463,21698,10,0,453,12
沖縄,3134,52894,342,9,2738,58
(その他),149,-,0,-,149,-
合計,95392,2308769,5436,159,88237,1710
