都道府県名,陽性者数 検査人数,,%
北海道,2703,74331,3.6%
青森,170,3886,4.4%
,27,5134,0.5%
宮城,565,12939,4.4%
秋田,61,2448,2.5%
山形,84,5761,1.5%
福島,385,27233,1.4%
茨城,739,13525,5.5%
栃木,476,35132,1.4%
群馬,858,27724,3.1%
埼玉,5602,174144,3.2%
千葉,4775,119627,4.0%
東京,29909,567880,5.3%
神奈川,8308,187119,4.4%
新潟,181,17321,1.0%
富山,422,14261,3.0%
石川,798,16210,4.9%
福井,256,10775,2.4%
山梨,203,11373,1.8%
長野,330,22077,1.5%
岐阜,671,26049,2.6%
静岡,588,40885,1.4%
,5811,93063,6.2%
三重,555,15384,3.6%
滋賀,537,13710,3.9%
京都,1958,50753,3.9%
大阪,11976,223402,5.4%
,3078,65855,4.7%
奈良,625,23806,2.6%
和歌山,270,10207,2.6%
鳥取,35,5582,0.6%
島根,140,6122,2.3%
岡山,194,10217,1.9%
広島,654,26568,2.5%
山口,213,11451,1.9%
徳島,164,7390,2.2%
香川,101,12950,0.8%
愛媛,116,4293,2.7%
高知,140,3604,3.9%
,5179,157690,3.3%
佐賀,254,6897,3.7%
長崎,242,21532,1.1%
熊本,768,19032,4.0%
大分,159,20094,0.8%
宮崎,366,8741,4.2%
鹿児島,463,21698,2.1%
沖縄,3134,52894,5.9%
長崎船,149,0,-
合計,95392,2308769,4.1%
