都道府県名,陽性者数 検査人数,,%
北海道,17626,324004,5.4%
青森,724,13444,5.4%
岩手,499,20161,2.5%
宮城,3420,48574,7.0%
秋田,262,6725,3.9%
山形,510,14690,3.5%
福島,1737,86592,2.0%
茨城,4875,23454,20.8%
栃木,3791,107069,3.5%
群馬,3930,76929,5.1%
埼玉,25594,459924,5.6%
千葉,22730,332434,6.8%
東京,100790,1334722,7.6%
神奈川,41172,504498,8.2%
新潟,921,37118,2.5%
富山,873,31259,2.8%
石川,1473,41219,3.6%
福井,517,27353,1.9%
山梨,901,14741,6.1%
長野,2298,84306,2.7%
岐阜,4269,106625,4.0%
静岡,4629,149524,3.1%
愛知,24101,320943,7.5%
三重,2232,46585,4.8%
滋賀,2158,57944,3.7%
京都,8510,132891,6.4%
大阪,44111,657924,6.7%
兵庫,16528,205268,8.1%
奈良,3087,69966,4.4%
和歌山,1071,21677,4.9%
鳥取,202,34630,0.6%
島根,271,12166,2.2%
岡山,2354,51686,4.6%
広島,4827,120841,4.0%
山口,1250,45815,2.7%
徳島,389,22129,1.8%
香川,665,37851,1.8%
愛媛,996,25596,3.9%
高知,851,6936,12.3%
福岡,16239,374773,4.3%
佐賀,957,24127,4.0%
長崎,1530,57572,2.7%
熊本,3353,51545,6.5%
大分,1177,65039,1.8%
宮崎,1853,23387,7.9%
鹿児島,1632,56867,2.9%
沖縄,7631,127156,6.0%
長崎船,149,0,-
合計,391665,6496679,6.0%
