都道府県名,陽性者数 検査人数,,%
北海道,21174,456035,4.6%
青森,1070,25683,4.2%
岩手,687,46272,1.5%
宮城,6341,94160,6.7%
秋田,301,7580,4.0%
山形,1012,35941,2.8%
福島,2583,154011,1.7%
茨城,6831,26579,25.7%
栃木,4732,175778,2.7%
群馬,5081,114876,4.4%
埼玉,33272,657144,5.1%
千葉,29929,485109,6.2%
東京,122347,1783496,6.9%
神奈川,48466,702970,6.9%
新潟,1533,84453,1.8%
富山,948,42146,2.2%
石川,1941,61271,3.2%
福井,610,36059,1.7%
山梨,981,32134,3.1%
長野,2901,117807,2.5%
岐阜,4995,161919,3.1%
静岡,5792,250200,2.3%
愛知,27589,469439,5.9%
三重,2825,79034,3.6%
滋賀,2834,87898,3.2%
京都,9573,179251,5.3%
大阪,54096,1081596,5.0%
兵庫,20431,302296,6.8%
奈良,3912,98084,4.0%
和歌山,1336,27128,4.9%
鳥取,276,48976,0.6%
島根,288,18022,1.6%
岡山,2741,81422,3.4%
広島,5190,181159,2.9%
山口,1435,68811,2.1%
徳島,572,33175,1.7%
香川,888,52550,1.7%
愛媛,1457,41338,3.5%
高知,921,7447,12.4%
福岡,19080,515423,3.7%
佐賀,1214,32431,3.7%
長崎,1645,78385,2.1%
熊本,3517,58352,6.0%
大分,1320,93820,1.4%
宮崎,1966,24863,7.9%
鹿児島,1847,73778,2.5%
沖縄,9795,167146,5.9%
長崎船,149,0,-
合計,480424,9453447,5.1%
