都道府県名,陽性者数 検査人数,,%
北海道,3681,89907,4.1%
青森,271,5750,4.7%
,30,5655,0.5%
宮城,834,15020,5.6%
秋田,67,2642,2.5%
山形,86,6749,1.3%
福島,412,31153,1.3%
茨城,806,14162,5.7%
栃木,498,45708,1.1%
群馬,924,30491,3.0%
埼玉,6201,194647,3.2%
千葉,5310,135455,3.9%
東京,32429,627902,5.2%
神奈川,9261,209445,4.4%
新潟,188,18262,1.0%
富山,424,15001,2.8%
石川,819,18467,4.4%
福井,258,11246,2.3%
山梨,225,11926,1.9%
長野,357,24098,1.5%
岐阜,729,27877,2.6%
静岡,707,44670,1.6%
,6618,105343,6.3%
三重,595,16342,3.6%
滋賀,599,14734,4.1%
京都,2101,54297,3.9%
大阪,13676,250416,5.5%
,3455,72133,4.8%
奈良,726,25726,2.8%
和歌山,286,10623,2.7%
鳥取,43,5889,0.7%
島根,141,6281,2.2%
岡山,332,11198,3.0%
広島,670,28463,2.4%
山口,225,11960,1.9%
徳島,167,7566,2.2%
香川,104,14083,0.7%
愛媛,117,4434,2.6%
高知,144,3671,3.9%
,5276,171300,3.1%
佐賀,268,7612,3.5%
長崎,246,23522,1.0%
熊本,847,20748,4.1%
大分,160,21889,0.7%
宮崎,372,8807,4.2%
鹿児島,505,23324,2.2%
沖縄,3488,60962,5.7%
長崎船,149,0,-
合計,105827,2567556,4.1%
