都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1125,16302,146,11,888,91
青   森,27,889,0,0,26,1
岩    手,0,761,0,0,0,0
宮    城,88,3119,0,0,87,1
秋  田,16,952,0,0,16,0
山    形,69,2459,2,1,67,0
福    島,81,5159,3,0,78,0
茨    城,168,4872,3,0,155,10
栃    木,66,5034,4,0,62,0
群    馬,151,4076,6,1,126,19
埼    玉,1008,24572,29,5,928,51
千    葉,910,15743,22,4,843,45
東    京,5408,16143,339,23,4758,311
神 奈 川,1398,10756,125,15,1185,88
新    潟,83,4428,1,0,81,0
富    山,227,3537,6,0,199,22
石    川,299,2800,33,2,239,27
福    井,122,2875,1,1,113,8
山    梨,67,4487,3,0,63,1
長    野,76,2901,5,0,71,-
岐    阜,153,3951,4,1,142,7
静    岡,75,3637,1,0,73,1
愛    知,511,10844,7,0,465,34
三    重,45,2587,0,0,44,1
滋    賀,100,1978,2,1,97,1
京    都,359,8644,7,0,334,18
大    阪,1785,33639,62,15,1635,84
兵    庫,699,11640,4,3,652,43
奈    良,92,2898,1,0,89,2
和 歌 山,63,3797,0,0,60,3
鳥    取,3,1402,0,0,3,0
島    根,24,1169,1,1,23,0
岡    山,25,1780,0,-,25,-
広    島,168,7297,1,0,164,3
山    口,37,1873,1,1,36,0
徳    島,5,784,0,0,4,1
香    川,28,2312,0,0,28,0
愛    媛,82,2477,11,0,67,4
高    知,74,1848,0,0,71,3
福    岡,805,14385,133,6,645,27
佐    賀,47,1505,0,0,45,0
長    崎,17,2956,0,0,16,1
熊    本,48,4055,1,0,44,3
大    分,60,4278,0,0,59,1
宮    崎,17,1441,0,0,17,0
鹿 児 島,10,2009,0,0,10,0
沖    縄,142,2925,0,0,139,7
(その他),149,-,1,-,148,-
合計,17012,269976,965,91,15120,919
