都道府県名,陽性者数 検査人数,,%
北海道,1125,16302,6.9%
青森,27,889,3.0%
岩手,0,761,0.0%
宮城,88,3119,2.8%
秋田,16,952,1.7%
山形,69,2459,2.8%
福島,81,5159,1.6%
茨城,168,4872,3.4%
栃木,66,5034,1.3%
群馬,151,4076,3.7%
埼玉,1008,24572,4.1%
千葉,910,15743,5.8%
東京,5408,16143,33.5%
神奈川,1398,10756,13.0%
新潟,83,4428,1.9%
富山,227,3537,6.4%
石川,299,2800,10.7%
福井,122,2875,4.2%
山梨,67,4487,1.5%
長野,76,2901,2.6%
岐阜,153,3951,3.9%
静岡,75,3637,2.1%
愛知,511,10844,4.7%
三重,45,2587,1.7%
滋賀,100,1978,5.1%
京都,359,8644,4.2%
大阪,1785,33639,5.3%
兵庫,699,11640,6.0%
奈良,92,2898,3.2%
和歌山,63,3797,1.7%
鳥取,3,1402,0.2%
島根,24,1169,2.1%
岡山,25,1780,1.4%
広島,168,7297,2.3%
山口,37,1873,2.0%
徳島,5,784,0.6%
香川,28,2312,1.2%
愛媛,82,2477,3.3%
高知,74,1848,4.0%
福岡,805,14385,5.6%
佐賀,47,1505,3.1%
長崎,17,2956,0.6%
熊本,48,4055,1.2%
大分,60,4278,1.4%
宮崎,17,1441,1.2%
鹿児島,10,2009,0.5%
沖縄,142,2925,4.9%
長崎船,149,-,-
合計,17012,269976,6.3%
