都道府県名,陽性者数,検査人数,備考
北海道,193,2296,
青森県,11,188,
岩手県,0,76,
宮城県,20,348,
秋田県,10,349,
山形県,6,369,
福島県,14,264,
茨城県,59,1383,
栃木県,14,657,
群馬県,25,866,
埼玉県,153,1547,
千葉県,219,828,
東京都,897,3806,
神奈川県,197,1099,
新潟県,32,1248,
富山県,10,198,
石川県,32,264,
福井県,44,275,
山梨県,11,625,
長野県,11,669,
岐阜県,43,833,
静岡県,10,1006,
愛知県,216,2917,
三重県,12,598,
滋賀県,17,293,
京都府,105,1398,
大阪府,388,1292,
兵庫県,182,2805,
奈良県,24,364,
和歌山県,21,1579,
鳥取県,0,227,
島根県,0,161,
岡山県,10,390,
広島県,13,1040,
山口県,7,396,
徳島県,3,164,
香川県,2,344,
愛媛県,12,350,
高知県,24,482,
福岡県,67,1594,
佐賀県,6,184,
長崎県,8,505,
熊本県,16,1125,
大分県,31,1739,
宮崎県,4,346,
鹿児島県,3,346,
沖縄県,9,430,
合計,3191,40263,
