都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,41772,801489,551,11,39785,1412
青森,2538,52512,37,0,2470,31
岩手,1774,88952,90,1,1637,47
宮城,9298,161143,149,3,9039,91
秋田,935,16159,49,2,866,20
山形,2057,67424,39,1,1971,47
福島,5074,290233,177,4,4736,161
茨城,10802,33871,246,5,10390,166
栃木,7229,311979,188,10,6959,82
群馬,8085,199003,51,3,7880,154
埼玉,47765,998897,1454,21,45475,836
千葉,41862,716627,1377,15,39769,716
東京,181024,2606875,6270,63,172501,2253
神奈川,69927,1072099,2146,36,66818,963
新潟,3475,177388,85,0,3337,53
富山,2058,76215,22,1,1998,38
石川,4023,126523,91,1,3814,115
福井,1373,71480,104,1,1234,35
山梨,2144,62325,51,0,2072,21
長野,5059,212206,37,0,5005,93
岐阜,9491,278310,54,5,9250,187
静岡,9579,418670,321,4,9106,152
愛知,51495,854147,601,14,49913,981
三重,5328,148938,83,3,5271,113
滋賀,5621,157797,79,2,5452,90
京都,16786,291666,162,4,16353,247
大阪,104682,2244964,1439,122,99746,2693
兵庫,41200,521525,302,15,39589,1310
奈良,8456,174026,134,6,8190,132
和歌山,2704,42500,16,1,2581,49
鳥取,494,86098,24,0,461,2
島根,561,32023,7,0,552,2
岡山,7613,168599,22,1,7455,126
広島,11570,561085,71,8,11312,176
山口,3173,124469,38,1,3055,80
徳島,1661,66517,6,0,1592,63
香川,2114,88506,20,1,2068,31
愛媛,2756,98714,5,2,2676,75
高知,1889,11777,68,4,1794,27
福岡,35895,855170,378,9,34938,525
佐賀,2570,58736,19,0,2563,24
長崎,3229,128564,50,0,3110,69
熊本,6495,82501,27,1,6349,119
大分,3504,174245,18,0,3422,64
宮崎,3107,44740,19,0,3048,27
鹿児島,3731,113578,61,1,3666,39
沖縄,21319,258879,668,43,20451,206
(その他),149,-,0,-,149,-
合計,815446,16230144,17906,425,781868,14943
