都道府県名,陽性者数 検査人数,,%
北海道,18835,369291,5.1%
青森,812,17099,4.7%
岩手,553,24184,2.3%
宮城,3563,66366,5.4%
秋田,269,7031,3.8%
山形,537,17236,3.1%
福島,1876,106229,1.8%
茨城,5595,24833,22.5%
栃木,4037,122452,3.3%
群馬,4381,89498,4.9%
埼玉,28756,531822,5.4%
千葉,25676,391360,6.6%
東京,109912,1490491,7.4%
神奈川,44181,571658,7.7%
新潟,1032,42392,2.4%
富山,903,35301,2.6%
石川,1797,48506,3.7%
福井,542,30834,1.8%
山梨,935,24827,3.8%
長野,2358,95860,2.5%
岐阜,4675,127848,3.7%
静岡,5015,179607,2.8%
愛知,25569,377566,6.8%
三重,2480,60178,4.1%
滋賀,2398,68106,3.5%
京都,9017,151641,5.9%
大阪,46679,761750,6.1%
兵庫,17806,239577,7.4%
奈良,3338,79558,4.2%
和歌山,1159,24236,4.8%
鳥取,208,39345,0.5%
島根,281,15115,1.9%
岡山,2470,63400,3.9%
広島,4999,149875,3.3%
山口,1369,55951,2.4%
徳島,447,25617,1.7%
香川,744,43568,1.7%
愛媛,1052,31232,3.4%
高知,884,7091,12.5%
福岡,17819,429419,4.1%
佐賀,1017,26788,3.8%
長崎,1605,65672,2.4%
熊本,3437,56482,6.1%
大分,1286,76415,1.7%
宮崎,1946,24645,7.9%
鹿児島,1747,65502,2.7%
沖縄,8093,142076,5.7%
長崎船,149,0,-
合計,424239,7495530,5.7%
