都道府県名,陽性者数 検査人数,,%
北海道,15300,270645,5.7%
青森,607,11633,5.2%
岩手,449,16513,2.7%
宮城,2750,42970,6.4%
秋田,181,5154,3.5%
山形,438,11523,3.8%
福島,1337,67811,2.0%
茨城,3458,20533,16.8%
栃木,2916,85390,3.4%
群馬,3066,62806,4.9%
埼玉,19281,372814,5.2%
千葉,15883,258017,6.2%
東京,80068,1137244,7.0%
神奈川,30691,406741,7.5%
新潟,739,32037,2.3%
富山,755,25927,2.9%
石川,1267,34619,3.7%
福井,411,22228,1.8%
山梨,795,14741,5.4%
長野,1819,62480,2.9%
岐阜,3288,82493,4.0%
静岡,3621,106902,3.4%
愛知,20066,253386,7.9%
三重,1672,32398,5.2%
滋賀,1661,45204,3.7%
京都,6187,106732,5.8%
大阪,36434,543085,6.7%
兵庫,12686,164362,7.7%
奈良,2481,57058,4.3%
和歌山,819,18508,4.4%
鳥取,170,28928,0.6%
島根,230,10183,2.3%
岡山,1967,35839,5.5%
広島,4220,99692,4.2%
山口,760,35818,2.1%
徳島,272,17284,1.6%
香川,477,30651,1.6%
愛媛,762,16790,4.5%
高知,757,6259,12.1%
福岡,12009,303802,4.0%
佐賀,698,17753,3.9%
長崎,1118,47030,2.4%
熊本,2722,43346,6.3%
大分,885,51886,1.7%
宮崎,1429,18621,7.7%
鹿児島,1301,47153,2.8%
沖縄,6107,98244,6.2%
長崎船,149,0,-
合計,307159,5281233,5.8%
