都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1834,47473,85,2,1644,105
青 森,35,2153,2,0,32,1
岩手,23,3458,5,0,18,0
宮城,249,8369,43,0,204,2
秋  田,50,1841,3,0,47,0
山形,78,3133,2,1,76,1
福島,184,16069,50,2,134,0
茨城,588,11350,56,3,518,14
栃木,316,24434,18,1,299,1
群馬,497,16123,70,0,403,19
埼玉,4148,119096,352,10,3701,95
千葉,3258,60485,294,8,2900,64
東京,22019,360918,2201,21,19440,378
神奈川,5523,125034,589,30,4808,126
新潟,146,13473,6,1,140,0
富山,407,10437,31,1,354,25
石川,712,9728,111,2,562,39
福井,244,8967,53,5,181,8
山梨,178,9851,10,1,163,5
⾧野,292,16526,39,0,258,1
岐阜,566,19111,18,2,538,10
静岡,494,27924,26,2,467,1
愛知,4719,59105,489,15,4156,74
三重,435,10665,83,2,349,3
滋賀,465,10102,44,2,414,7
京都,1583,34296,148,3,1410,25
大阪,9169,149366,832,44,8162,168
兵庫,2360,47485,113,10,2193,54
奈良,539,15262,36,2,495,8
和歌山,235,8816,3,0,225,4
鳥取,22,4592,0,0,22,0
島根,137,5027,0,0,137,0
岡山,146,7049,4,-,141,-
広島,460,18408,10,0,447,3
山口,184,7349,55,1,129,0
徳島,146,6389,57,3,81,6
香川,85,8883,10,0,73,2
愛媛,114,3884,1,0,107,6
高知,134,3234,6,1,123,3
福岡,4834,43293,696,19,4067,71
佐賀,242,5310,8,0,234,0
⾧崎,234,15654,19,0,208,3
熊本,551,12359,50,0,484,8
大分,157,13756,18,0,137,2
宮崎,339,8198,18,0,321,1
鹿児島,371,16769,36,1,324,11
沖縄,2238,26337,298,7,1906,38
(その他),149,-,0,-,149,-
合計,71889,1457541,7098,202,63381,1392
