都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,31910,612515,5790,43,24766,964
青森,2033,39485,266,5,1740,27
岩手,1275,66567,186,1,1047,42
宮城,8641,132609,328,9,8214,80
秋田,718,12767,123,0,584,11
山形,1775,54650,195,5,1543,37
福島,4331,216257,513,23,3685,133
茨城,9184,31779,564,14,8481,139
栃木,5947,232305,359,7,5514,74
群馬,7371,156502,652,15,6598,121
埼玉,42068,832383,2545,54,38754,769
千葉,35835,583560,1283,24,33894,658
東京,154156,2184275,6353,73,145819,1984
神奈川,58587,881892,2317,63,55411,859
新潟,2924,129911,405,6,2485,34
富山,1582,57941,205,5,1344,33
石川,3328,80335,578,10,2650,98
福井,1004,56351,57,0,913,34
山梨,1423,38972,122,1,1284,19
長野,4463,166383,350,7,4089,76
岐阜,7939,219264,1127,17,6666,146
静岡,7639,330381,818,9,6690,131
愛知,41622,635190,5845,70,35091,686
三重,4581,109813,600,12,4003,98
滋賀,4633,119104,531,7,4028,74
京都,14885,240384,1536,23,13182,197
大阪,96142,1675293,14538,375,78633,2036
兵庫,37916,431485,3688,93,33204,1034
奈良,7593,143589,743,23,6750,100
和歌山,2517,38247,161,39,2281,36
鳥取,442,69477,51,1,382,2
島根,469,22393,78,3,391,0
岡山,6508,108427,1308,26,4071,73
広島,8788,370434,861,17,6612,114
山口,2562,98010,546,9,1961,55
徳島,1595,51730,142,3,1395,58
香川,1858,71732,357,4,1482,24
愛媛,2643,74593,150,5,2426,67
高知,1188,8752,72,2,1096,20
福岡,31368,697040,5763,81,24637,396
佐賀,2321,45957,306,8,1950,16
長崎,2789,105688,430,16,2304,56
熊本,5485,74137,912,21,4484,89
大分,3011,134662,661,6,2313,37
宮崎,2887,38333,354,5,2499,25
鹿児島,2986,93644,427,3,2519,28
沖縄,14289,205955,1639,45,12510,146
(その他),149,-,0,-,149,-
合計,695360,12781153,66835,1288,612524,11936
