都道府県名,陽性者数 検査人数,,%
北海道,9669,164174,5.9%
青森,324,7172,4.5%
岩手,220,10109,2.2%
宮城,1272,19587,6.5%
秋田,90,3689,2.4%
山形,158,7934,2.0%
福島,528,41506,1.3%
茨城,1808,17334,10.4%
栃木,732,56515,1.3%
群馬,1371,39174,3.5%
埼玉,9159,244778,3.7%
千葉,7388,171596,4.3%
東京,43377,797901,5.4%
神奈川,13505,265968,5.1%
新潟,354,23160,1.5%
富山,461,17786,2.6%
石川,867,23222,3.7%
福井,321,15611,2.1%
山梨,381,13645,2.8%
長野,786,33056,2.4%
岐阜,1227,43695,2.8%
静岡,1827,61478,3.0%
愛知,10938,143080,7.6%
三重,940,22079,4.3%
滋賀,814,29103,2.8%
京都,2736,68469,4.0%
大阪,22197,347916,6.4%
兵庫,6169,102264,6.0%
奈良,1291,35104,3.7%
和歌山,490,13948,3.5%
鳥取,61,18010,0.3%
島根,153,7158,2.1%
岡山,645,20802,3.1%
広島,1023,35884,2.9%
山口,409,19028,2.1%
徳島,185,7906,2.3%
香川,159,18005,0.9%
愛媛,341,8364,4.1%
高知,215,3998,5.4%
福岡,5977,210049,2.8%
佐賀,336,10424,3.2%
長崎,273,28117,1.0%
熊本,1079,24904,4.3%
大分,378,30004,1.3%
宮崎,545,10314,5.3%
鹿児島,637,28192,2.3%
沖縄,4535,75471,6.0%
長崎船,149,0,-
合計,158500,3397683,4.7%
