都道府県名,陽性者数 検査人数,,%
北海道,1210,19687,6.1%
青森,27,959,2.8%
岩手,0,903,0.0%
宮城,91,3572,2.5%
秋田,16,986,1.6%
山形,69,2518,2.7%
福島,82,6415,1.3%
茨城,170,5209,3.3%
栃木,66,6574,1.0%
群馬,152,4764,3.2%
埼玉,1074,32451,3.3%
千葉,937,17597,5.3%
東京,5943,73753,8.1%
神奈川,1444,12278,11.8%
新潟,84,4842,1.7%
富山,227,3890,5.8%
石川,300,2881,10.4%
福井,122,3306,3.7%
山梨,72,5447,1.3%
長野,77,3188,2.4%
岐阜,156,4984,3.1%
静岡,80,7108,1.1%
愛知,523,12363,4.2%
三重,46,2816,1.6%
滋賀,101,2285,4.4%
京都,365,9818,3.7%
大阪,1811,38699,4.7%
兵庫,704,14347,4.9%
奈良,92,3760,2.4%
和歌山,64,3938,1.6%
鳥取,3,1465,0.2%
島根,24,1228,2.0%
岡山,26,1891,1.4%
広島,168,7722,2.2%
山口,37,2187,1.7%
徳島,5,854,0.6%
香川,28,2583,1.1%
愛媛,82,2581,3.2%
高知,74,1946,3.8%
福岡,842,15796,5.3%
佐賀,47,1605,2.9%
長崎,17,3165,0.5%
熊本,49,4219,1.2%
大分,60,4748,1.3%
宮崎,17,1543,1.1%
鹿児島,11,2507,0.4%
沖縄,142,3004,4.7%
長崎船,149,-,-
合計,17886,370382,4.8%
