都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1210,19687,84,6,1028,98
青   森,27,959,0,0,26,1
岩    手,0,903,0,0,0,0
宮    城,91,3572,3,0,87,1
秋  田,16,986,0,0,16,0
山    形,69,2518,1,1,68,0
福    島,82,6415,2,0,80,0
茨    城,170,5209,5,0,155,10
栃    木,66,6574,1,0,65,0
群    馬,152,4764,3,0,130,19
埼    玉,1074,32451,62,4,947,65
千    葉,937,17597,25,2,867,45
東    京,5943,73753,360,19,5258,325
神 奈 川,1444,12278,60,10,1290,94
新    潟,84,4842,2,0,81,0
富    山,227,3890,0,0,205,22
石    川,300,2881,23,1,250,27
福    井,122,3306,0,0,114,8
山    梨,72,5447,0,0,71,1
長    野,77,3188,2,0,75,-
岐    阜,156,4984,4,1,145,7
静    岡,80,7108,4,0,75,1
愛    知,523,12363,9,0,474,34
三    重,46,2816,1,0,44,1
滋    賀,101,2285,2,1,98,1
京    都,365,9818,5,0,342,18
大    阪,1811,38699,32,4,1693,86
兵    庫,704,14347,8,0,653,43
奈    良,92,3760,0,0,90,2
和 歌 山,64,3938,1,0,60,3
鳥    取,3,1465,0,0,3,0
島    根,24,1228,1,0,23,0
岡    山,26,1891,1,-,25,-
広    島,168,7722,0,0,165,3
山    口,37,2187,0,0,37,0
徳    島,5,854,0,0,4,1
香    川,28,2583,0,0,28,0
愛    媛,82,2581,2,0,76,4
高    知,74,1946,0,0,71,3
福    岡,842,15796,21,2,788,33
佐    賀,47,1605,0,0,47,0
長    崎,17,3165,0,0,16,1
熊    本,49,4219,1,0,45,3
大    分,60,4748,0,0,59,1
宮    崎,17,1543,0,0,17,0
鹿 児 島,11,2507,1,0,10,0
沖    縄,142,3004,0,0,139,7
(その他),149,-,1,-,148,-
合計,17886,370382,727,51,16188,968
