都道府県名,陽性者数 検査人数,,%
北海道,39033,701265,5.6%
青森,2406,45866,5.2%
岩手,1481,76822,1.9%
宮城,8949,146473,6.1%
秋田,760,13808,5.5%
山形,1983,60273,3.3%
福島,4623,248730,1.9%
茨城,9864,32792,30.1%
栃木,6450,266525,2.4%
群馬,7902,177391,4.5%
埼玉,44247,893757,5.0%
千葉,37538,624517,6.0%
東京,162893,2319968,7.0%
神奈川,62342,945347,6.6%
新潟,3276,148719,2.2%
富山,1907,65994,2.9%
石川,3810,98678,3.9%
福井,1052,59973,1.8%
山梨,1576,44960,3.5%
長野,4849,183346,2.6%
岐阜,9042,245024,3.7%
静岡,8539,361571,2.4%
愛知,48111,728901,6.6%
三重,5011,129213,3.9%
滋賀,5247,133799,3.9%
京都,16007,259082,6.2%
大阪,100546,1869050,5.4%
兵庫,39989,466372,8.6%
奈良,7981,154880,5.2%
和歌山,2633,40635,6.5%
鳥取,466,74177,0.6%
島根,545,27832,2.0%
岡山,7444,148791,5.0%
広島,10869,501470,2.2%
山口,2981,108624,2.7%
徳島,1633,59551,2.7%
香川,2027,78867,2.6%
愛媛,2723,89387,3.0%
高知,1553,10135,15.3%
福岡,34480,762369,4.5%
佐賀,2524,51296,4.9%
長崎,2950,113818,2.6%
熊本,6318,79287,8.0%
大分,3424,149928,2.3%
宮崎,3046,43344,7.0%
鹿児島,3435,103647,3.3%
沖縄,18055,224578,8.0%
長崎船,149,0,-
合計,754669,14170832,5.3%
