都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1304,23694,66,5,1136,102
青 森,29,1140,3,0,25,1
岩手,0,1189,0,0,0,0
宮城,110,4748,9,0,100,1
秋  田,16,1023,0,0,16,0
山形,74,2674,4,0,70,1
福島,84,8119,2,0,82,0
茨城,209,5930,22,1,177,10
栃木,103,9645,19,0,86,0
群馬,161,6320,6,0,136,19
埼玉,1568,47612,357,4,1144,67
千葉,1191,21490,186,0,959,46
東京,8354,125898,1420,8,6608,326
神奈川,1826,14758,206,7,1522,98
新潟,89,5419,5,0,83,0
富山,230,4493,2,0,206,22
石川,300,2968,4,1,269,27
福井,125,3779,3,0,114,8
山梨,76,6341,1,0,74,1
長野,80,4878,4,0,76,-
岐阜,166,6009,8,1,151,7
静岡,97,9243,13,0,83,1
愛知,536,14633,15,0,483,34
三重,50,3123,3,0,45,1
滋賀,107,3026,5,1,101,1
京都,468,12781,65,0,385,18
大阪,2065,48476,153,5,1826,86
兵庫,748,17478,30,0,673,45
奈良,131,5045,37,0,92,2
和歌山,84,4703,20,0,61,3
鳥取,5,2145,2,0,3,0
島根,25,1299,0,0,25,0
岡山,30,2066,0,-,28,-
広島,184,8525,14,0,167,3
山口,37,2788,0,0,37,0
徳島,10,1268,5,0,4,1
香川,31,3229,3,0,28,0
愛媛,82,2693,0,0,77,5
高知,75,2051,1,0,71,3
福岡,928,18352,62,4,833,33
佐賀,47,1738,0,0,47,0
長崎,31,4277,14,0,16,1
熊本,49,4465,0,0,46,3
大分,60,5522,0,0,59,1
宮崎,20,1748,3,0,17,0
鹿児島,158,7605,109,0,49,0
沖縄,148,3381,4,0,141,7
(その他),149,-,0,-,149,-
合計,22450,499787,2885,37,18580,984
