都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1137,16633,125,12,921,91
青   森,27,899,0,0,26,1
岩    手,0,769,0,0,0,0
宮    城,88,3168,0,0,87,1
秋  田,16,961,0,0,16,0
山    形,69,2470,2,1,67,0
福    島,81,5353,3,0,78,0
茨    城,168,4962,3,0,155,10
栃    木,66,5264,3,0,63,0
群    馬,151,4232,6,1,126,19
埼    玉,1017,25662,30,4,936,51
千    葉,915,15991,24,4,846,45
東    京,5448,16267,313,21,4824,311
神 奈 川,1399,11046,108,16,1202,89
新    潟,83,4507,1,0,81,0
富    山,227,3587,3,0,202,22
石    川,299,2815,33,2,239,27
福    井,122,2953,1,1,113,8
山    梨,68,4648,3,0,64,1
長    野,76,2957,4,0,72,-
岐    阜,153,4095,4,1,142,7
静    岡,77,3653,3,0,73,1
愛    知,513,11072,9,0,465,34
三    重,45,2609,0,0,44,1
滋    賀,100,2024,2,1,97,1
京    都,360,8864,5,0,337,18
大    阪,1785,34423,41,10,1655,85
兵    庫,699,11771,3,3,653,43
奈    良,92,3240,1,0,89,2
和 歌 山,63,3824,0,0,60,3
鳥    取,3,1411,0,0,3,0
島    根,24,1182,1,1,23,0
岡    山,25,1800,0,-,25,-
広    島,168,7360,1,0,164,3
山    口,37,1898,1,1,36,0
徳    島,5,798,0,0,4,1
香    川,28,2362,0,0,28,0
愛    媛,82,2497,9,0,69,4
高    知,74,1873,0,0,71,3
福    岡,810,14641,111,3,671,28
佐    賀,47,1523,0,0,47,0
長    崎,17,2993,0,0,16,1
熊    本,48,4080,0,0,45,3
大    分,60,4342,0,0,59,1
宮    崎,17,1461,0,0,17,0
鹿 児 島,10,2157,0,0,10,0
沖    縄,142,2935,0,0,139,7
(その他),149,-,1,-,148,-
合計,17090,276032,854,82,15308,922
