都道府県名,陽性者数 検査人数,,%
北海道,1222,20326,6.0%
青森,27,971,2.8%
岩手,0,918,0.0%
宮城,92,3682,2.5%
秋田,16,990,1.6%
山形,69,2533,2.7%
福島,82,6613,1.2%
茨城,173,5235,3.3%
栃木,69,6954,1.0%
群馬,152,4921,3.1%
埼玉,1109,33238,3.3%
千葉,949,18047,5.3%
東京,6114,77406,7.9%
神奈川,1464,12347,11.9%
新潟,84,4860,1.7%
富山,227,3896,5.8%
石川,300,2898,10.4%
福井,122,3372,3.6%
山梨,72,5495,1.3%
長野,77,3255,2.4%
岐阜,156,5128,3.0%
静岡,80,7324,1.1%
愛知,523,12445,4.2%
三重,46,2854,1.6%
滋賀,101,2344,4.3%
京都,366,9896,3.7%
大阪,1816,39970,4.5%
兵庫,705,14671,4.8%
奈良,92,3760,2.4%
和歌山,64,3978,1.6%
鳥取,3,1477,0.2%
島根,24,1239,1.9%
岡山,26,1920,1.4%
広島,168,7744,2.2%
山口,37,2243,1.6%
徳島,6,890,0.7%
香川,28,2646,1.1%
愛媛,82,2586,3.2%
高知,74,1969,3.8%
福岡,845,16166,5.2%
佐賀,47,1615,2.9%
長崎,17,3198,0.5%
熊本,49,4234,1.2%
大分,60,4807,1.2%
宮崎,17,1549,1.1%
鹿児島,11,2561,0.4%
沖縄,142,3015,4.7%
長崎船,149,-,-
合計,18154,380186,4.8%
