都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1222,20326,75,6,1048,99
青   森,27,971,0,0,26,1
岩    手,0,918,0,0,0,0
宮    城,92,3682,3,0,88,1
秋  田,16,990,0,0,16,0
山    形,69,2533,1,1,68,0
福    島,82,6613,2,0,80,0
茨    城,173,5235,6,0,157,10
栃    木,69,6954,0,0,65,0
群    馬,152,4921,2,0,131,19
埼    玉,1109,33238,93,4,951,65
千    葉,949,18047,36,2,868,45
東    京,6114,77406,443,13,5346,325
神 奈 川,1464,12347,64,10,1304,96
新    潟,84,4860,2,0,81,0
富    山,227,3896,0,0,205,22
石    川,300,2898,21,1,252,27
福    井,122,3372,0,0,114,8
山    梨,72,5495,0,0,71,1
長    野,77,3255,1,0,76,-
岐    阜,156,5128,3,1,146,7
静    岡,80,7324,4,0,75,1
愛    知,523,12445,6,0,477,34
三    重,46,2854,1,0,44,1
滋    賀,101,2344,1,0,99,1
京    都,366,9896,4,0,344,18
大    阪,1816,39970,25,3,1705,86
兵    庫,705,14671,8,0,654,43
奈    良,92,3760,0,0,90,2
和 歌 山,64,3978,1,0,60,3
鳥    取,3,1477,0,0,3,0
島    根,24,1239,1,0,23,0
岡    山,26,1920,1,-,25,-
広    島,168,7744,0,0,165,3
山    口,37,2243,0,0,37,0
徳    島,6,890,0,0,4,1
香    川,28,2646,0,0,28,0
愛    媛,82,2586,1,0,77,4
高    知,74,1969,0,0,71,3
福    岡,845,16166,14,2,798,33
佐    賀,47,1615,0,0,47,0
長    崎,17,3198,0,0,16,1
熊    本,49,4234,1,0,45,3
大    分,60,4807,0,0,59,1
宮    崎,17,1549,0,0,17,0
鹿 児 島,11,2561,1,0,10,0
沖    縄,142,3015,0,0,139,7
(その他),149,-,1,-,148,-
合計,18154,380186,822,43,16353,971
