都道府県名,陽性者数 検査人数,,%
北海道,1361,25699,5.3%
青森,31,1317,2.4%
岩手,0,1290,0.0%
宮城,136,5288,2.6%
秋田,16,1054,1.5%
山形,75,2832,2.6%
福島,85,8752,1.0%
茨城,235,6442,3.6%
栃木,139,11552,1.2%
群馬,174,7184,2.4%
埼玉,1891,55580,3.4%
千葉,1333,24141,5.5%
東京,10054,151630,6.6%
神奈川,2107,16219,13.0%
新潟,92,5858,1.6%
富山,234,4874,4.8%
石川,306,3030,10.1%
福井,126,4351,2.9%
山梨,80,6681,1.2%
長野,86,5467,1.6%
岐阜,200,7897,2.5%
静岡,119,10472,1.1%
愛知,714,16828,4.2%
三重,58,3383,1.7%
滋賀,128,3449,3.7%
京都,586,14909,3.9%
大阪,2662,57990,4.6%
兵庫,853,20016,4.3%
奈良,171,7978,2.1%
和歌山,100,5210,1.9%
鳥取,5,2255,0.2%
島根,26,2033,1.3%
岡山,44,2459,1.8%
広島,220,9665,2.3%
山口,43,3375,1.3%
徳島,10,1470,0.7%
香川,44,4149,1.1%
愛媛,83,2757,3.0%
高知,77,2148,3.6%
福岡,1113,19892,5.6%
佐賀,55,1836,3.0%
長崎,47,5241,0.9%
熊本,52,4607,1.1%
大分,60,5913,1.0%
宮崎,20,1868,1.1%
鹿児島,172,8314,2.1%
沖縄,157,3830,4.1%
長崎船,149,-,-
合計,26529,579185,4.6%
