都道府県名,陽性者数 検査人数,,%
北海道,17720,327318,5.4%
青森,730,13519,5.4%
岩手,505,20461,2.5%
宮城,3431,48693,7.0%
秋田,266,6739,3.9%
山形,513,15189,3.4%
福島,1750,87691,2.0%
茨城,4914,23513,20.9%
栃木,3803,107222,3.5%
群馬,3969,77531,5.1%
埼玉,25851,466838,5.5%
千葉,22948,335596,6.8%
東京,101466,1346412,7.5%
神奈川,41404,509791,8.1%
新潟,928,37467,2.5%
富山,876,31560,2.8%
石川,1484,41738,3.6%
福井,517,27353,1.9%
山梨,902,14741,6.1%
長野,2314,85149,2.7%
岐阜,4321,107762,4.0%
静岡,4645,151467,3.1%
愛知,24202,325712,7.4%
三重,2259,46585,4.8%
滋賀,2180,58374,3.7%
京都,8566,134586,6.4%
大阪,44355,665303,6.7%
兵庫,16662,206992,8.0%
奈良,3121,70956,4.4%
和歌山,1085,22157,4.9%
鳥取,203,35387,0.6%
島根,273,12166,2.2%
岡山,2366,51686,4.6%
広島,4841,120841,4.0%
山口,1272,49814,2.6%
徳島,389,22374,1.7%
香川,670,38359,1.7%
愛媛,997,25633,3.9%
高知,851,6948,12.2%
福岡,16316,378330,4.3%
佐賀,965,24285,4.0%
長崎,1537,58238,2.6%
熊本,3360,51587,6.5%
大分,1191,65881,1.8%
宮崎,1866,23721,7.9%
鹿児島,1632,57426,2.8%
沖縄,7691,128395,6.0%
長崎船,149,0,-
合計,394256,6565486,6.0%
