都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者うち重症,,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,4820,101035,1455,16,3243,122
青 森,275,6100,38,2,231,6
岩手,51,5988,6,0,27,0
宮城,943,15890,183,3,752,8
秋  田,70,2695,8,1,62,0
山形,94,6981,12,0,81,1
福島,428,34760,39,3,383,6
茨城,906,14703,114,2,774,18
栃木,509,47905,19,4,490,1
群馬,951,32726,41,3,890,20
埼玉,6637,206246,707,9,5812,118
千葉,5633,142152,495,8,5054,84
東京,34144,659488,2489,39,31185,470
神奈川,9895,220848,878,28,8835,182
新潟,224,19367,41,0,183,0
富山,425,15642,2,0,397,26
石川,827,19519,14,0,764,49
福井,271,12106,14,0,246,11
山梨,275,12472,49,1,220,6
長野,429,25663,84,0,344,6
岐阜,796,29011,95,0,689,12
静岡,822,48055,133,2,687,2
愛知,7299,113195,905,14,6294,100
三重,610,17127,46,3,557,7
滋賀,646,14966,79,0,558,9
京都,2222,55975,126,1,2065,31
大阪,14870,266357,1639,58,12953,259
兵庫,3747,75625,325,18,3350,72
奈良,812,27245,135,1,666,11
和歌山,308,10987,27,3,272,4
鳥取,52,6090,13,0,39,0
島根,141,6354,0,0,141,0
岡山,367,14762,79,1,259,10
広島,684,29759,24,1,655,5
山口,248,12510,34,1,211,2
徳島,170,7642,7,0,156,9
香川,113,14848,11,0,100,2
愛媛,123,4529,7,0,110,6
高知,144,3686,0,0,140,4
福岡,5360,178418,113,4,5143,104
佐賀,276,8003,12,0,265,1
長崎,249,24364,3,0,242,3
熊本,887,21374,49,4,810,9
大分,163,22882,3,0,157,3
宮崎,373,8829,3,1,370,1
鹿児島,542,24653,67,0,470,13
沖縄,3669,64314,300,3,3308,66
(その他),149,-,0,-,149,-
合計,113649,2713846,10923,234,100789,1879
