都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1873,49584,62,2,1705,106
青 森,35,2206,2,0,32,1
岩手,23,3610,4,0,19,0
宮城,302,8871,75,0,225,2
秋  田,50,1855,0,0,50,0
山形,78,3151,2,1,76,1
福島,208,17039,48,2,160,0
茨城,612,11550,59,4,538,15
栃木,338,25806,19,2,302,1
群馬,547,17333,91,0,431,19
埼玉,4286,123464,323,7,3866,97
千葉,3405,66682,316,8,3022,67
東京,23003,380646,2450,24,20171,382
神奈川,5944,128296,676,32,5141,127
新潟,149,13851,8,1,141,0
富山,408,10832,15,0,368,25
石川,730,10742,85,0,603,42
福井,244,9229,40,4,194,8
山梨,179,9977,10,1,164,5
長野,296,17030,24,1,277,1
岐阜,592,19908,35,2,547,10
静岡,504,29710,23,2,480,1
愛知,4864,62277,387,15,4402,75
三重,457,11211,80,2,372,5
滋賀,471,10587,37,1,427,7
京都,1607,35638,108,2,1474,25
大阪,9604,158258,856,36,8561,179
兵庫,2455,49506,115,7,2285,55
奈良,545,18233,28,2,509,8
和歌山,236,8910,4,0,225,4
鳥取,31,4656,9,0,22,0
島根,137,5200,0,0,137,0
岡山,146,7511,1,-,145,-
広島,466,18642,7,0,456,3
山口,194,8127,42,1,151,1
徳島,147,6619,46,3,91,8
香川,89,9296,9,0,78,2
愛媛,114,3921,1,0,107,6
高知,137,3315,7,0,126,4
福岡,4932,44529,449,15,4402,79
佐賀,244,5517,4,0,240,0
長崎,235,16363,8,0,219,3
熊本,569,13039,38,0,520,8
大分,158,14507,13,0,143,2
宮崎,342,8279,11,0,331,1
鹿児島,372,17075,13,1,372,11
沖縄,2290,27827,201,7,2048,45
(その他),149,-,0,-,149,-
合計,74797,1530415,6841,185,66504,1441
