都道府県名,陽性者数 検査人数,,%
北海道,1873,49584,3.8%
青森,35,2206,1.6%
岩手,23,3610,0.6%
宮城,302,8871,3.4%
秋田,50,1855,2.7%
山形,78,3151,2.5%
福島,208,17039,1.2%
茨城,612,11550,5.3%
栃木,338,25806,1.3%
群馬,547,17333,3.2%
埼玉,4286,123464,3.5%
千葉,3405,66682,5.1%
東京,23003,380646,6.0%
神奈川,5944,128296,4.6%
新潟,149,13851,1.1%
富山,408,10832,3.8%
石川,730,10742,6.8%
福井,244,9229,2.6%
山梨,179,9977,1.8%
長野,296,17030,1.7%
岐阜,592,19908,3.0%
静岡,504,29710,1.7%
愛知,4864,62277,7.8%
三重,457,11211,4.1%
滋賀,471,10587,4.4%
京都,1607,35638,4.5%
大阪,9604,158258,6.1%
兵庫,2455,49506,5.0%
奈良,545,18233,3.0%
和歌山,236,8910,2.6%
鳥取,31,4656,0.7%
島根,137,5200,2.6%
岡山,146,7511,1.9%
広島,466,18642,2.5%
山口,194,8127,2.4%
徳島,147,6619,2.2%
香川,89,9296,1.0%
愛媛,114,3921,2.9%
高知,137,3315,4.1%
福岡,4932,44529,11.1%
佐賀,244,5517,4.4%
長崎,235,16363,1.4%
熊本,569,13039,4.4%
大分,158,14507,1.1%
宮崎,342,8279,4.1%
鹿児島,372,17075,2.2%
沖縄,2290,27827,8.2%
長崎船,149,0,-
合計,74797,1530415,4.9%
