都道府県名,陽性者数,検査人数,%
北海道,336,3625,9.3%
青森県,22,447,4.9%
岩手県,0,205,0.0%
宮城県,75,1109,6.8%
秋田県,16,688,2.3%
山形県,50,1276,3.9%
福島県,49,924,5.3%
茨城県,123,2883,4.3%
栃木県,42,1233,3.4%
群馬県,109,1924,5.7%
埼玉県,535,3836,13.9%
千葉県,539,3006,16.4%
東京都,2606,6814,38.2%
神奈川県,673,3682,16.4%
新潟県,47,1910,2.5%
富山県,65,1177,5.5%
石川県,146,903,16.2%
福井県,103,918,11.2%
山梨県,43,1367,3.1%
長野県,45,1219,3.7%
岐阜県,132,1727,7.6%
静岡県,48,1867,2.6%
愛知県,364,5008,7.3%
三重県,26,1092,2.4%
滋賀県,57,715,8.0%
京都府,225,2464,9.1%
大阪府,1021,3903,23.0%
兵庫県,453,4851,9.3%
奈良県,54,733,7.4%
和歌山県,38,2239,1.7%
鳥取県,1,477,0.2%
島根県,14,558,2.5%
岡山県,18,748,2.4%
広島県,118,2733,4.3%
山口県,29,885,3.3%
徳島県,3,277,1.1%
香川県,21,833,2.5%
愛媛県,41,708,5.8%
高知県,62,1039,6.0%
福岡県,459,6110,7.5%
佐賀県,15,489,3.1%
長崎県,16,1258,1.3%
熊本県,31,2131,1.5%
大分県,50,2325,2.2%
宮崎県,17,802,2.1%
鹿児島県,4,657,0.6%
沖縄県,86,1025,8.4%
合計,9027,86800,10.1%
