,2020-03-27,対前日比,うち現在は入院等,,うち退院,,うち死亡,
東京都,227,0,193,85%,29,13%,5,2%
北海道,168,1,47,28%,114,68%,7,4%
大阪府,154,18,111,72%,41,27%,2,1%
愛知県,150,3,90,60%,42,28%,18,12%
兵庫県,90,3,80,89%,5,6%,5,6%
神奈川県,88,6,66,75%,18,20%,4,5%
埼玉県,66,6,51,77%,13,20%,2,3%
千葉県,60,6,42,70%,18,30%,0,0%
京都府,31,2,20,65%,11,35%,0,0%
新潟県,24,0,17,71%,7,29%,0,0%
大分県,17,0,16,94%,1,6%,0,0%
和歌山県,15,0,4,27%,10,67%,1,7%
岐阜県,14,0,13,93%,1,7%,0,0%
群馬県,14,0,13,93%,0,0%,1,7%
高知県,12,1,1,8%,11,92%,0,0%
福岡県,12,1,10,83%,2,17%,0,0%
栃木県,11,1,9,82%,2,18%,0,0%
熊本県,9,2,7,78%,2,22%,0,0%
茨城県,9,0,9,100%,0,0%,0,0%
福井県,8,3,8,100%,0,0%,0,0%
沖縄県,6,2,4,67%,2,33%,0,0%
石川県,6,0,3,50%,3,50%,0,0%
三重県,6,0,4,67%,2,33%,0,0%
滋賀県,6,0,5,83%,1,17%,0,0%
長野県,5,1,3,60%,2,40%,0,0%
奈良県,5,0,2,40%,3,60%,0,0%
山梨県,4,0,2,50%,2,50%,0,0%
山口県,4,0,4,100%,0,0%,0,0%
広島県,4,0,3,75%,1,25%,0,0%
青森県,4,0,4,100%,0,0%,0,0%
秋田県,3,2,2,67%,1,33%,0,0%
愛媛県,3,1,2,67%,1,33%,0,0%
静岡県,3,0,1,33%,2,67%,0,0%
宮崎県,3,0,2,67%,1,33%,0,0%
岡山県,2,1,2,100%,0,0%,0,0%
宮城県,2,0,1,50%,1,50%,0,0%
福島県,2,0,2,100%,0,0%,0,0%
香川県,1,0,1,100%,0,0%,0,0%
佐賀県,1,0,1,100%,0,0%,0,0%
長崎県,1,0,1,100%,0,0%,0,0%
鹿児島県,1,0,1,100%,0,0%,0,0%
総計,1251,60,857,69%,349,28%,45,4%
