都道府県名,陽性者数 検査人数,,%
北海道,20994,448391,4.7%
青森,1031,25134,4.1%
岩手,621,43843,1.4%
宮城,5915,89194,6.6%
秋田,283,7580,3.7%
山形,948,35071,2.7%
福島,2499,149208,1.7%
茨城,6740,26469,25.5%
栃木,4638,171640,2.7%
群馬,5007,113724,4.4%
埼玉,32828,647531,5.1%
千葉,29634,474663,6.2%
東京,120986,1762746,6.9%
神奈川,48071,695356,6.9%
新潟,1461,82296,1.8%
富山,938,41749,2.2%
石川,1911,60344,3.2%
福井,589,35659,1.7%
山梨,968,30877,3.1%
長野,2796,116474,2.4%
岐阜,4953,158928,3.1%
静岡,5708,246634,2.3%
愛知,27264,463713,5.9%
三重,2753,76136,3.6%
滋賀,2770,86514,3.2%
京都,9460,177218,5.3%
大阪,52201,1047093,5.0%
兵庫,19848,295406,6.7%
奈良,3771,96480,3.9%
和歌山,1287,26694,4.8%
鳥取,241,47802,0.5%
島根,287,17590,1.6%
岡山,2693,78444,3.4%
広島,5151,180106,2.9%
山口,1418,68811,2.1%
徳島,535,32160,1.7%
香川,836,51035,1.6%
愛媛,1365,38877,3.5%
高知,917,7442,12.3%
福岡,18985,508894,3.7%
佐賀,1189,31922,3.7%
長崎,1634,77377,2.1%
熊本,3506,58021,6.0%
大分,1309,92321,1.4%
宮崎,1966,24825,7.9%
鹿児島,1830,73230,2.5%
沖縄,9482,164199,5.8%
長崎船,149,0,-
合計,472366,9285821,5.1%
