都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,13142,233173,1628,22,11106,445
青森,453,9366,63,2,382,8
岩手,380,14027,68,3,289,23
宮城,2104,24274,437,3,1653,14
秋田,132,4565,37,0,94,1
山形,378,10101,84,6,288,6
福島,907,56176,235,5,653,19
茨城,2381,18572,255,7,2090,36
栃木,1349,71133,373,9,976,6
群馬,2222,52062,311,11,1842,40
埼玉,13724,312054,2824,54,10697,203
千葉,10609,224133,1899,16,8595,115
東京,57896,975031,7652,84,49626,618
神奈川,20244,342311,2974,59,17010,260
新潟,520,27854,95,0,425,3
富山,548,21742,54,2,468,26
石川,1050,29508,109,7,895,50
福井,350,19268,17,1,321,11
山梨,525,14459,49,3,465,11
長野,1140,47294,123,3,1014,14
岐阜,2142,64835,465,10,1646,31
静岡,2606,88334,427,9,2139,40
愛知,15786,199918,2255,41,13329,202
三重,1248,29023,142,4,1090,16
滋賀,1127,36772,217,3,899,11
京都,4455,90765,1019,14,3431,47
大阪,29379,457909,3349,150,25468,562
兵庫,9432,135518,1140,44,8104,188
奈良,1936,47698,336,15,1578,22
和歌山,600,16374,21,4,561,7
鳥取,101,23698,34,1,65,0
島根,208,9344,31,2,177,0
岡山,1308,31723,384,8,762,13
広島,3059,73605,535,18,1677,23
山口,561,26760,116,3,438,3
徳島,195,15180,7,0,179,9
香川,296,23771,94,0,199,3
愛媛,445,12351,79,4,354,12
高知,642,5808,146,9,490,6
福岡,8585,260551,1360,13,7107,118
佐賀,457,14755,54,1,405,3
長崎,611,38585,201,2,311,3
熊本,1739,34504,172,5,1384,16
大分,654,41963,96,4,553,5
宮崎,715,12454,68,0,647,5
鹿児島,966,38299,110,2,856,13
沖縄,5260,88575,332,5,4852,81
(その他),149,-,0,-,149,-
合計,224716,4426175,32477,668,187739,3348
