都道府県名,陽性者数 検査人数,,%
北海道,41216,770984,5.3%
青森,2476,49864,5.0%
岩手,1659,83733,2.0%
宮城,9104,155430,5.9%
秋田,825,14558,5.7%
山形,2020,64565,3.1%
福島,4840,276045,1.8%
茨城,10440,33152,31.5%
栃木,6939,283160,2.5%
群馬,8022,190917,4.2%
埼玉,46100,955947,4.8%
千葉,39826,671675,5.9%
東京,172041,2488038,6.9%
神奈川,66606,1022092,6.5%
新潟,3397,168208,2.0%
富山,2036,72570,2.8%
石川,3927,121110,3.2%
福井,1240,66408,1.9%
山梨,2059,54750,3.8%
長野,5023,199773,2.5%
岐阜,9429,267444,3.5%
静岡,9206,396428,2.3%
愛知,50815,814830,6.2%
三重,5244,142045,3.7%
滋賀,5537,149511,3.7%
京都,16539,280079,5.9%
大阪,103038,2112180,4.9%
兵庫,40816,501880,8.1%
奈良,8263,166297,5.0%
和歌山,2672,41620,6.4%
鳥取,466,82396,0.6%
島根,552,29812,1.9%
岡山,7587,162012,4.7%
広島,11470,545235,2.1%
山口,3130,119622,2.6%
徳島,1655,64277,2.6%
香川,2091,84979,2.5%
愛媛,2752,95439,2.9%
高知,1788,11163,16.0%
福岡,35414,822202,4.3%
佐賀,2554,56182,4.5%
長崎,3153,123087,2.6%
熊本,6464,81798,7.9%
大分,3491,166555,2.1%
宮崎,3076,44111,7.0%
鹿児島,3653,110319,3.3%
沖縄,20546,247994,8.3%
長崎船,149,0,-
合計,791346,15462476,5.1%
