都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,41216,770984,1415,29,38516,1382
青森,2476,49864,33,0,2412,31
岩手,1659,83733,50,1,1563,46
宮城,9104,155430,64,5,8949,88
秋田,825,14558,62,1,743,20
山形,2020,64565,13,2,1960,47
福島,4840,276045,117,4,4562,161
茨城,10440,33152,251,6,10027,162
栃木,6939,283160,217,11,6641,81
群馬,8022,190917,56,7,7814,152
埼玉,46100,955947,1013,13,44257,830
千葉,39826,671675,1029,17,38093,704
東京,172041,2488038,4154,37,165665,2222
神奈川,66606,1022092,1618,39,64044,944
新潟,3397,168208,51,3,3299,47
富山,2036,72570,63,2,1936,37
石川,3927,121110,46,0,3764,115
福井,1240,66408,165,0,1041,34
山梨,2059,54750,222,0,1816,21
長野,5023,199773,78,2,4929,91
岐阜,9429,267444,156,4,9087,186
静岡,9206,396428,315,4,8741,150
愛知,50815,814830,1206,33,48659,950
三重,5244,142045,101,4,5171,110
滋賀,5537,149511,113,6,5334,90
京都,16539,280079,158,13,16120,241
大阪,103038,2112180,1457,170,98121,2647
兵庫,40816,501880,266,24,39271,1282
奈良,8263,166297,170,7,7964,129
和歌山,2672,41620,16,2,2549,49
鳥取,466,82396,2,0,455,2
島根,552,29812,2,1,549,1
岡山,7587,162012,72,8,7385,126
広島,11470,545235,187,13,11074,174
山口,3130,119622,65,1,2988,77
徳島,1655,64277,12,0,1580,63
香川,2091,84979,26,1,2040,30
愛媛,2752,95439,13,3,2664,75
高知,1788,11163,93,6,1671,24
福岡,35414,822202,514,16,34344,519
佐賀,2554,56182,17,0,2549,24
長崎,3153,123087,82,0,3002,69
熊本,6464,81798,85,7,6266,113
大分,3491,166555,36,1,3393,62
宮崎,3076,44111,20,0,3019,27
鹿児島,3653,110319,47,1,3600,38
沖縄,20546,247994,1262,63,19111,179
(その他),149,-,0,-,149,-
合計,791346,15462476,17210,567,758887,14652
