都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1605,35641,134,3,1368,103
青 森,33,1689,1,0,31,1
岩手,8,2176,6,0,2,0
宮城,184,7062,12,1,171,1
秋  田,40,1450,13,0,25,0
山形,76,2997,0,0,76,1
福島,105,11802,16,1,89,0
茨城,450,9203,95,2,345,10
栃木,269,18168,42,4,213,1
群馬,279,10264,83,0,177,19
埼玉,3165,87683,573,10,2510,82
千葉,2415,43917,492,7,1867,56
東京,17454,253605,3520,23,13596,338
神奈川,3774,87845,593,22,3076,105
新潟,129,7873,0,0,121,0
富山,307,6591,52,0,236,22
石川,438,3995,112,3,298,28
福井,154,5862,8,1,138,8
山梨,136,8444,31,0,104,1
⾧野,148,10614,35,0,114,-
岐阜,511,15207,90,3,414,7
静岡,398,18540,78,2,319,1
愛知,3454,37041,1632,13,1913,39
三重,268,7203,118,2,149,1
滋賀,331,6863,118,4,210,3
京都,1061,23577,208,3,832,21
大阪,6698,103356,1695,70,4892,106
兵庫,1810,35200,272,14,1490,48
奈良,369,11572,71,1,295,3
和歌山,194,7291,23,3,165,4
鳥取,21,4286,13,0,8,0
島根,132,4161,103,0,29,0
岡山,125,3786,20,-,90,-
広島,433,15725,71,1,360,3
山口,82,4978,24,0,58,0
徳島,86,3554,43,0,27,1
香川,62,6293,11,0,50,1
愛媛,110,3416,13,0,91,6
高知,97,2465,4,0,79,3
福岡,3484,34012,1195,17,2250,39
佐賀,190,3893,76,0,117,0
⾧崎,184,10571,37,-,36,3
熊本,392,8826,94,3,211,5
大分,97,8863,20,0,76,1
宮崎,256,6761,78,0,178,1
鹿児島,281,13001,24,2,242,4
沖縄,1558,16561,1123,17,428,11
(その他),149,-,0,-,149,-
合計,54002,1033883,13072,232,39715,1087
