都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1184,18301,115,11,977,92
青   森,27,933,0,0,26,1
岩    手,0,830,0,0,0,0
宮    城,88,3372,0,0,87,1
秋  田,16,975,0,0,16,0
山    形,69,2491,1,1,68,0
福    島,82,5874,3,0,79,0
茨    城,168,5107,3,0,155,10
栃    木,66,5889,1,0,65,0
群    馬,151,4514,2,0,130,19
埼    玉,1025,29050,22,3,951,52
千    葉,922,16898,24,2,853,45
東    京,5674,63083,340,19,5017,317
神 奈 川,1426,11724,62,9,1271,93
新    潟,83,4686,1,0,81,0
富    山,227,3766,0,0,205,22
石    川,299,2857,25,2,247,27
福    井,122,3132,0,0,114,8
山    梨,72,5122,2,0,69,1
長    野,76,3063,1,0,75,-
岐    阜,155,4518,5,2,143,7
静    岡,79,3724,4,0,74,1
愛    知,521,11523,11,0,470,34
三    重,45,2687,0,0,44,1
滋    賀,101,2148,2,1,98,1
京    都,363,9329,4,0,341,18
大    阪,1794,36520,28,7,1680,86
兵    庫,699,13665,3,0,653,43
奈    良,92,3491,0,0,90,2
和 歌 山,63,3874,0,0,60,3
鳥    取,3,1437,0,0,3,0
島    根,24,1208,1,1,23,0
岡    山,25,1853,0,-,25,-
広    島,168,7548,0,0,165,3
山    口,37,2021,1,1,36,0
徳    島,5,834,0,0,4,1
香    川,28,2460,0,0,28,0
愛    媛,82,2553,5,0,73,4
高    知,74,1913,0,0,71,3
福    岡,830,15245,39,3,763,28
佐    賀,47,1579,0,0,47,0
長    崎,17,3074,0,0,16,1
熊    本,48,4153,0,0,45,3
大    分,60,4531,0,0,59,1
宮    崎,17,1504,0,0,17,0
鹿 児 島,11,2384,1,0,10,0
沖    縄,142,2983,0,0,139,7
(その他),149,-,1,-,148,-
合計,17456,340426,707,62,15811,935
