都道府県名,陽性者数 検査人数,,%
北海道,41935,806134,5.2%
青森,2548,52952,4.8%
岩手,1812,89480,2.0%
宮城,9362,163484,5.7%
秋田,944,16377,5.8%
山形,2070,68214,3.0%
福島,5108,292436,1.7%
茨城,10893,34027,32.0%
栃木,7280,313280,2.3%
群馬,8100,201211,4.0%
埼玉,48217,1008436,4.8%
千葉,42338,725365,5.8%
東京,182970,2631654,7.0%
神奈川,70904,1085652,6.5%
新潟,3497,179294,2.0%
富山,2066,76995,2.7%
石川,4061,126868,3.2%
福井,1399,73448,1.9%
山梨,2171,62325,3.5%
長野,5065,214429,2.4%
岐阜,9512,279896,3.4%
静岡,9660,424082,2.3%
愛知,51665,864872,6.0%
三重,5359,148938,3.6%
滋賀,5640,158985,3.5%
京都,16850,292903,5.8%
大阪,105179,2268681,4.6%
兵庫,41306,525436,7.9%
奈良,8497,176518,4.8%
和歌山,2715,42600,6.4%
鳥取,496,86537,0.6%
島根,562,32023,1.8%
岡山,7628,168599,4.5%
広島,11592,565969,2.0%
山口,3177,124469,2.6%
徳島,1668,67021,2.5%
香川,2120,88883,2.4%
愛媛,2761,98783,2.8%
高知,1904,58679,3.2%
福岡,36024,862359,4.2%
佐賀,2572,59257,4.3%
長崎,3232,129130,2.5%
熊本,6501,82540,7.9%
大分,3506,175343,2.0%
宮崎,3114,44801,7.0%
鹿児島,3742,114003,3.3%
沖縄,21442,260989,8.2%
長崎船,149,0,-
合計,821313,16424357,5.0%
