都道府県名,陽性者数 検査人数,,%
北海道,38530,691336,5.6%
青森,2383,45261,5.3%
岩手,1465,74009,2.0%
宮城,8894,145345,6.1%
秋田,758,13808,5.5%
山形,1971,59996,3.3%
福島,4602,242841,1.9%
茨城,9797,32725,29.9%
栃木,6402,264314,2.4%
群馬,7861,171307,4.6%
埼玉,44023,887226,5.0%
千葉,37318,615360,6.1%
東京,161913,2300292,7.0%
神奈川,61893,937046,6.6%
新潟,3247,146322,2.2%
富山,1893,64987,2.9%
石川,3790,95072,4.0%
福井,1047,59583,1.8%
山梨,1558,43111,3.6%
長野,4823,181302,2.7%
岐阜,8935,241591,3.7%
静岡,8465,356876,2.4%
愛知,47538,718177,6.6%
三重,4959,123611,4.0%
滋賀,5169,130131,4.0%
京都,15917,256825,6.2%
大阪,100133,1846273,5.4%
兵庫,39816,462667,8.6%
奈良,7933,153537,5.2%
和歌山,2629,40452,6.5%
鳥取,466,73693,0.6%
島根,543,26359,2.1%
岡山,7397,138031,5.4%
広島,10744,400384,2.7%
山口,2956,108624,2.7%
徳島,1632,59068,2.8%
香川,2019,78055,2.6%
愛媛,2722,87428,3.1%
高知,1520,9996,15.2%
福岡,34300,755292,4.5%
佐賀,2513,50781,4.9%
長崎,2916,112762,2.6%
熊本,6281,78715,8.0%
大分,3408,148185,2.3%
宮崎,3037,43294,7.0%
鹿児島,3384,102319,3.3%
沖縄,17564,221787,7.9%
長崎船,149,0,-
合計,749213,13896156,5.4%
