都道府県名,陽性者数 検査人数,,%
北海道,21108,453600,4.7%
青森,1058,25578,4.1%
岩手,673,45756,1.5%
宮城,6210,92693,6.7%
秋田,288,7580,3.8%
山形,995,35828,2.8%
福島,2555,152667,1.7%
茨城,6800,26579,25.6%
栃木,4691,171947,2.7%
群馬,5065,114876,4.4%
埼玉,33123,654678,5.1%
千葉,29840,483607,6.2%
東京,121901,1777220,6.9%
神奈川,48337,702970,6.9%
新潟,1516,84050,1.8%
富山,942,42146,2.2%
石川,1930,61020,3.2%
福井,597,35859,1.7%
山梨,981,32134,3.1%
長野,2855,117807,2.4%
岐阜,4979,161013,3.1%
静岡,5755,250200,2.3%
愛知,27446,469439,5.8%
三重,2803,79034,3.5%
滋賀,2824,87113,3.2%
京都,9573,179251,5.3%
大阪,53430,1073091,5.0%
兵庫,20258,300013,6.8%
奈良,3869,98084,3.9%
和歌山,1319,26989,4.9%
鳥取,269,48976,0.5%
島根,288,18022,1.6%
岡山,2721,81422,3.3%
広島,5181,181159,2.9%
山口,1427,68811,2.1%
徳島,562,32640,1.7%
香川,872,52059,1.7%
愛媛,1423,41021,3.5%
高知,919,7447,12.3%
福岡,19041,513202,3.7%
佐賀,1206,32235,3.7%
長崎,1643,78127,2.1%
熊本,3517,58210,6.0%
大分,1315,93351,1.4%
宮崎,1966,24863,7.9%
鹿児島,1839,73778,2.5%
沖縄,9678,164199,5.9%
長崎船,149,0,-
合計,477737,9412344,5.1%
