都道府県名,陽性者数 検査人数,,%
北海道,11460,194520,5.9%
青森,375,8163,4.6%
岩手,306,11317,2.7%
宮城,1531,21856,7.0%
秋田,94,3842,2.4%
山形,265,9181,2.9%
福島,622,45958,1.4%
茨城,2012,17994,11.2%
栃木,880,62128,1.4%
群馬,1683,43085,3.9%
埼玉,10543,266533,4.0%
千葉,8269,192386,4.3%
東京,47530,858689,5.5%
神奈川,15172,286971,5.3%
新潟,408,24569,1.7%
富山,474,19105,2.5%
石川,916,25019,3.7%
福井,332,16651,2.0%
山梨,451,14184,3.2%
⾧野,977,36749,2.7%
岐阜,1509,50749,3.0%
静岡,2199,69589,3.2%
愛知,12706,153696,8.3%
三重,1072,24205,4.4%
滋賀,869,31392,2.8%
京都,3267,75779,4.3%
大阪,25114,383174,6.6%
兵庫,7339,114190,6.4%
奈良,1512,39412,3.8%
和歌山,557,15059,3.7%
鳥取,67,19827,0.3%
島根,168,7659,2.2%
岡山,702,24136,2.9%
広島,1634,48780,3.3%
山口,437,22347,2.0%
徳島,187,13881,1.3%
香川,199,19583,1.0%
愛媛,360,9762,3.7%
高知,368,4777,7.7%
福岡,6680,226346,3.0%
佐賀,384,12001,3.2%
⾧崎,321,30156,1.1%
熊本,1267,28344,4.5%
大分,522,33944,1.5%
宮崎,612,11276,5.4%
鹿児島,837,32158,2.6%
沖縄,4824,80078,6.0%
⾧崎船,149,0,-
合計,180162,3741200,4.8%
