都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1019,11435,272,17,670,77
青   森,27,812,4,0,21,1
岩    手,0,568,0,0,0,0
宮    城,88,2642,1,0,86,1
秋  田,16,915,0,0,16,0
山    形,69,2598,6,2,63,0
福    島,81,3593,12,0,69,0
茨    城,168,4427,20,1,139,9
栃    木,64,3087,15,5,46,0
群    馬,148,3396,25,1,104,19
埼    玉,997,17759,120,5,831,46
千    葉,904,13345,114,6,746,44
東    京,5133,14564,804,42,4073,256
神 奈 川,1315,8681,311,28,935,69
新    潟,83,3902,14,0,68,0
富    山,227,3037,38,0,168,21
石    川,292,2558,72,3,198,22
福    井,122,2402,8,2,105,8
山    梨,60,3550,5,1,55,0
⾧    野,76,2524,17,1,59,-
岐    阜,150,3138,6,1,137,7
静    岡,74,3355,3,1,70,1
愛    知,506,9451,36,0,431,34
三    重,45,2406,5,0,39,1
滋    賀,99,1668,15,1,83,1
京    都,358,7335,40,4,304,14
大    阪,1780,27552,294,30,1399,76
兵    庫,699,10438,60,12,601,38
奈    良,91,2754,7,1,82,2
和 歌 山,63,3586,7,0,53,3
鳥    取,3,1279,1,0,2,0
島    根,24,1069,5,1,19,0
岡    山,25,1607,0,-,25,-
広    島,166,6656,26,1,138,2
山    口,37,1647,3,1,34,0
徳    島,5,692,0,0,4,1
香    川,28,2046,1,0,27,0
愛    媛,75,1796,26,0,45,4
高    知,74,1718,3,0,68,3
福    岡,658,11650,60,4,573,25
佐    賀,47,1361,13,0,32,0
⾧    崎,17,2625,0,0,16,1
熊    本,48,3778,10,1,35,3
大    分,60,3776,2,0,57,1
宮    崎,17,1333,3,0,14,0
鹿 児 島,10,1666,1,0,9,0
沖    縄,142,2795,7,4,131,6
(その他),149,-,3,-,108,-
合計,16339,224972,2495,176,12988,796
