都道府県名,陽性者数 検査人数,,%
北海道,1019,11435,8.9%
青森,27,812,3.3%
岩手,0,568,0.0%
宮城,88,2642,3.3%
秋田,16,915,1.7%
山形,69,2598,2.7%
福島,81,3593,2.3%
茨城,168,4427,3.8%
栃木,64,3087,2.1%
群馬,148,3396,4.4%
埼玉,997,17759,5.6%
千葉,904,13345,6.8%
東京,5133,14564,35.2%
神奈川,1315,8681,15.1%
新潟,83,3902,2.1%
富山,227,3037,7.5%
石川,292,2558,11.4%
福井,122,2402,5.1%
山梨,60,3550,1.7%
⾧野,76,2524,3.0%
岐阜,150,3138,4.8%
静岡,74,3355,2.2%
愛知,506,9451,5.4%
三重,45,2406,1.9%
滋賀,99,1668,5.9%
京都,358,7335,4.9%
大阪,1780,27552,6.5%
兵庫,699,10438,6.7%
奈良,91,2754,3.3%
和歌山,63,3586,1.8%
鳥取,3,1279,0.2%
島根,24,1069,2.2%
岡山,25,1607,1.6%
広島,166,6656,2.5%
山口,37,1647,2.2%
徳島,5,692,0.7%
香川,28,2046,1.4%
愛媛,75,1796,4.2%
高知,74,1718,4.3%
福岡,658,11650,5.6%
佐賀,47,1361,3.5%
⾧崎,17,2625,0.6%
熊本,48,3778,1.3%
大分,60,3776,1.6%
宮崎,17,1333,1.3%
鹿児島,10,1666,0.6%
沖縄,142,2795,5.1%
⾧崎船,149,-,-
合計,16339,224972,7.3%
