都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,7766,135619,2300,21,5302,164
青 森,285,6480,16,2,263,6
岩手,162,8650,98,1,76,1
宮城,1147,18374,193,8,945,9
秋  田,84,3476,13,0,70,1
山形,111,7374,13,1,97,1
福島,486,38699,60,5,420,6
茨城,1397,16254,337,8,1041,19
栃木,599,52797,79,6,520,2
群馬,1117,35056,125,2,941,21
埼玉,8002,228115,1175,27,6690,137
千葉,6644,159758,775,11,5783,86
東京,39079,736409,3781,60,34813,485
神奈川,11894,246225,1301,64,10404,189
新潟,325,21833,101,0,224,0
富山,450,16763,18,0,406,26
石川,843,21257,14,0,780,49
福井,309,14286,33,0,265,11
山梨,336,13394,50,3,279,7
⾧野,654,29788,99,0,524,6
岐阜,985,32518,156,1,816,13
静岡,1395,54881,504,4,887,4
愛知,9200,133582,1608,22,7479,113
三重,782,18271,171,5,604,7
滋賀,760,26704,86,0,665,9
京都,2552,63452,246,4,2269,37
大阪,18784,309194,3433,108,15035,297
兵庫,5028,89727,692,32,4257,79
奈良,1061,31572,189,6,861,11
和歌山,414,12863,77,9,325,6
鳥取,58,16126,8,0,49,0
島根,144,6772,4,0,140,0
岡山,544,17220,156,3,363,11
広島,771,33800,57,1,707,6
山口,367,17013,117,2,244,2
徳島,180,7770,10,2,162,9
香川,134,16352,19,0,113,2
愛媛,282,6025,141,3,135,6
高知,149,3747,5,0,140,4
福岡,5591,194792,203,3,5281,107
佐賀,300,9342,18,0,283,1
⾧崎,265,26332,15,0,246,3
熊本,984,23229,67,5,891,12
大分,246,26211,68,0,175,3
宮崎,458,9305,83,2,375,1
鹿児島,607,27018,40,0,567,13
沖縄,4131,69484,351,4,3717,68
(その他),149,-,0,-,149,-
合計,138011,3093909,19105,435,116778,2050
