都道府県名,陽性者数 検査人数,,%
北海道,7766,135619,5.7%
青森,285,6480,4.4%
,162,8650,1.9%
宮城,1147,18374,6.2%
秋田,84,3476,2.4%
山形,111,7374,1.5%
福島,486,38699,1.3%
茨城,1397,16254,8.6%
栃木,599,52797,1.1%
群馬,1117,35056,3.2%
埼玉,8002,228115,3.5%
千葉,6644,159758,4.2%
東京,39079,736409,5.3%
神奈川,11894,246225,4.8%
新潟,325,21833,1.5%
富山,450,16763,2.7%
石川,843,21257,4.0%
福井,309,14286,2.2%
山梨,336,13394,2.5%
⾧野,654,29788,2.2%
岐阜,985,32518,3.0%
静岡,1395,54881,2.5%
,9200,133582,6.9%
三重,782,18271,4.3%
滋賀,760,26704,2.8%
京都,2552,63452,4.0%
大阪,18784,309194,6.1%
,5028,89727,5.6%
奈良,1061,31572,3.4%
和歌山,414,12863,3.2%
鳥取,58,16126,0.4%
島根,144,6772,2.1%
岡山,544,17220,3.2%
広島,771,33800,2.3%
山口,367,17013,2.2%
徳島,180,7770,2.3%
香川,134,16352,0.8%
愛媛,282,6025,4.7%
高知,149,3747,4.0%
,5591,194792,2.9%
佐賀,300,9342,3.2%
⾧崎,265,26332,1.0%
熊本,984,23229,4.2%
大分,246,26211,0.9%
宮崎,458,9305,4.9%
鹿児島,607,27018,2.2%
沖縄,4131,69484,5.9%
⾧崎船,149,0,-
合計,138011,3093909,4.5%
