都道府県名,陽性者数 検査人数,,%
北海道,14717,260605,5.6%
青森,561,11166,5.0%
岩手,429,15628,2.7%
宮城,2582,26359,9.8%
秋田,173,4891,3.5%
山形,433,11075,3.9%
福島,1225,64642,1.9%
茨城,3140,19492,16.1%
栃木,2510,82123,3.1%
群馬,2872,58301,4.9%
埼玉,17827,355634,5.0%
千葉,14218,246224,5.8%
東京,74944,1083806,6.9%
神奈川,27344,381811,7.2%
新潟,661,30854,2.1%
富山,706,23807,3.0%
石川,1227,33033,3.7%
福井,397,21382,1.9%
山梨,676,14741,4.6%
長野,1609,55758,2.9%
岐阜,3037,76813,4.0%
静岡,3292,106902,3.1%
愛知,19077,231862,8.2%
三重,1563,32398,4.8%
滋賀,1546,42168,3.7%
京都,5518,101733,5.4%
大阪,34452,520494,6.6%
兵庫,11819,157468,7.5%
奈良,2357,53820,4.4%
和歌山,763,17677,4.3%
鳥取,165,27458,0.6%
島根,227,9344,2.4%
岡山,1807,35839,5.0%
広島,4012,86026,4.7%
山口,706,32146,2.2%
徳島,229,16533,1.4%
香川,427,28909,1.5%
愛媛,662,15836,4.2%
高知,732,6652,11.0%
福岡,10736,285837,3.8%
佐賀,601,16572,3.6%
長崎,1016,44929,2.3%
熊本,2365,39720,6.0%
大分,829,49444,1.7%
宮崎,1298,15272,8.5%
鹿児島,1189,44599,2.7%
沖縄,5903,94941,6.2%
長崎船,149,0,-
合計,284728,4992724,5.7%
