都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,16863,303756,1476,18,14901,579
青森,691,12667,56,2,624,11
岩手,489,19219,31,1,432,26
宮城,3287,46972,453,8,2812,22
秋田,251,6341,57,1,193,1
山形,463,13473,32,2,418,13
福島,1653,79159,296,11,1320,37
茨城,4459,22596,758,17,3646,55
栃木,3615,99964,798,21,2817,40
群馬,3649,71645,361,11,3221,67
埼玉,23848,430071,4611,92,18921,316
千葉,20877,309004,6299,54,14360,218
東京,95534,1266477,16697,148,78028,809
神奈川,38773,472946,4053,110,34310,410
新潟,856,35649,124,1,732,9
富山,848,29288,68,4,753,27
石川,1437,38966,180,4,1238,57
福井,496,25653,77,4,404,15
山梨,887,14741,62,4,813,12
長野,2216,77561,250,3,1957,29
岐阜,4038,98687,518,14,3453,67
静岡,4338,135440,816,9,3449,73
愛知,22926,293384,2806,65,19752,368
三重,2057,42391,378,6,1651,28
滋賀,2026,53211,412,11,1587,27
京都,7759,120598,1505,16,6211,104
大阪,42070,617604,5731,184,35482,857
兵庫,15467,191134,1904,73,13201,362
奈良,2906,65814,365,9,2505,36
和歌山,1011,20636,122,16,857,13
鳥取,197,32694,40,1,152,2
島根,245,11764,8,0,237,0
岡山,2267,47392,387,21,1750,17
広島,4647,107047,343,10,4159,88
山口,1151,40022,384,2,756,11
徳島,371,20493,106,1,252,13
香川,599,35647,161,1,424,14
愛媛,954,22965,172,4,765,17
高知,828,6800,52,6,763,13
福岡,15213,352510,2907,29,12137,169
佐賀,924,22704,187,2,744,4
長崎,1419,53978,298,1,1116,21
熊本,3262,51045,283,25,2635,55
大分,1079,59703,173,4,890,16
宮崎,1760,21639,264,9,1489,17
鹿児島,1543,53383,223,3,1320,16
沖縄,7139,119818,723,5,6331,90
(その他),149,-,0,-,149,-
合計,369537,6074651,58007,1043,306117,5251
