都道府県名,陽性者数 検査人数,,%
北海道,16863,303756,5.6%
青森,691,12667,5.5%
岩手,489,19219,2.5%
宮城,3287,46972,7.0%
秋田,251,6341,4.0%
山形,463,13473,3.4%
福島,1653,79159,2.1%
茨城,4459,22596,19.7%
栃木,3615,99964,3.6%
群馬,3649,71645,5.1%
埼玉,23848,430071,5.5%
千葉,20877,309004,6.8%
東京,95534,1266477,7.5%
神奈川,38773,472946,8.2%
新潟,856,35649,2.4%
富山,848,29288,2.9%
石川,1437,38966,3.7%
福井,496,25653,1.9%
山梨,887,14741,6.0%
長野,2216,77561,2.9%
岐阜,4038,98687,4.1%
静岡,4338,135440,3.2%
愛知,22926,293384,7.8%
三重,2057,42391,4.9%
滋賀,2026,53211,3.8%
京都,7759,120598,6.4%
大阪,42070,617604,6.8%
兵庫,15467,191134,8.1%
奈良,2906,65814,4.4%
和歌山,1011,20636,4.9%
鳥取,197,32694,0.6%
島根,245,11764,2.1%
岡山,2267,47392,4.8%
広島,4647,107047,4.3%
山口,1151,40022,2.9%
徳島,371,20493,1.8%
香川,599,35647,1.7%
愛媛,954,22965,4.2%
高知,828,6800,12.2%
福岡,15213,352510,4.3%
佐賀,924,22704,4.1%
長崎,1419,53978,2.6%
熊本,3262,51045,6.4%
大分,1079,59703,1.8%
宮崎,1760,21639,8.1%
鹿児島,1543,53383,2.9%
沖縄,7139,119818,6.0%
長崎船,149,0,-
合計,369537,6074651,6.1%
