都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1681,38536,115,3,1463,103
青 森,33,1870,0,0,32,1
岩手,11,2467,5,0,6,0
宮城,191,7379,9,0,180,2
秋  田,45,1652,11,0,34,0
山形,77,3041,1,0,76,1
福島,124,12969,30,0,94,0
茨城,498,9791,79,1,408,11
栃木,288,19922,32,2,255,1
群馬,374,11874,129,0,226,19
埼玉,3531,97014,620,11,2825,86
千葉,2738,49257,506,9,2173,59
東京,19121,284343,3209,37,15562,350
神奈川,4370,100213,716,22,3547,107
新潟,138,11719,12,0,126,0
富山,338,6984,64,3,258,23
石川,550,6344,153,2,367,30
福井,161,6318,11,1,142,8
山梨,162,9028,36,0,125,1
長野,169,11944,30,1,143,-
岐阜,538,16638,51,5,478,9
静岡,433,21516,51,2,381,1
愛知,4068,43307,1162,24,2854,52
三重,331,8367,98,2,230,2
滋賀,384,7677,104,2,276,4
京都,1243,26619,239,4,983,21
大阪,7720,118261,1746,66,5840,129
兵庫,2072,39318,277,14,1746,49
奈良,482,12714,137,2,342,3
和歌山,225,8027,37,1,182,4
鳥取,22,4447,8,0,14,0
島根,134,4538,68,0,67,0
岡山,135,5880,16,-,110,-
広島,448,16687,27,1,418,3
山口,107,5660,33,0,74,0
徳島,104,4796,57,1,42,1
香川,71,7095,10,0,60,1
愛媛,113,3668,9,0,98,6
高知,107,2722,18,0,86,3
福岡,3987,36994,845,16,3095,47
佐賀,218,4425,45,1,174,0
長崎,193,12264,26,-,36,3
熊本,466,10001,98,4,349,7
大分,138,10876,48,0,89,1
宮崎,309,7335,73,0,236,1
鹿児島,340,14082,65,2,261,8
沖縄,1864,20747,616,15,1234,18
(その他),149,-,0,-,149,-
合計,61001,1167326,11732,254,47946,1175
